datasetcode,datasetname,topic,datasetdescription,contact,email,dateupdate,compressionformat,filetype,filesize,filerows,filelocation
CB,Food Balances: Commodity Balances (non-food) (2010-),"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-08-08T00:00:00,zip,csv,859KB,117560,https://fenixservices.fao.org/faostat/static/bulkdownloads/CommodityBalances_(non-food)_E_All_Data_(Normalized).zip
FBS,Food Balances: Food Balances (2010-),"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-09-04T00:00:00,zip,csv,55894KB,4320908,https://fenixservices.fao.org/faostat/static/bulkdownloads/FoodBalanceSheets_E_All_Data_(Normalized).zip
FBSH,"Food Balances: Food Balances (-2013, old methodology and population)","Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-03-10T00:00:00,zip,csv,70922KB,11479903,https://fenixservices.fao.org/faostat/static/bulkdownloads/FoodBalanceSheetsHistoric_E_All_Data_(Normalized).zip
FO,Forestry: Forestry Production and Trade,"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-09-05T00:00:00,zip,csv,15739KB,2237225,https://fenixservices.fao.org/faostat/static/bulkdownloads/Forestry_E_All_Data_(Normalized).zip
OA,Population and Employment: Annual population,"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations,,,2022-10-24T00:00:00,zip,csv,1540KB,169142,https://fenixservices.fao.org/faostat/static/bulkdownloads/Population_E_All_Data_(Normalized).zip
PD,Prices: Deflators,FAO viale delle terme di Caracalla 1,Food and Agriculture Organization of the United Nations (FAO),,,2023-08-16T00:00:00,zip,csv,905KB,83486,https://fenixservices.fao.org/faostat/static/bulkdownloads/Deflators_E_All_Data_(Normalized).zip
PP,Prices: Producer Prices,"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-02-23T00:00:00,zip,csv,9911KB,1150071,https://fenixservices.fao.org/faostat/static/bulkdownloads/Prices_E_All_Data_(Normalized).zip
QCL,Production: Crops and livestock products,"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-03-22T00:00:00,zip,csv,30139KB,3761168,https://fenixservices.fao.org/faostat/static/bulkdownloads/Production_Crops_Livestock_E_All_Data_(Normalized).zip
RFN,"Land, Inputs and Sustainability: Fertilizers by Nutrient",,Food and Agriculture Organization of the United Nations (FAO),,,2023-07-05T00:00:00,zip,csv,1796KB,220984,https://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_FertilizersNutrient_E_All_Data_(Normalized).zip
RL,"Land, Inputs and Sustainability: Land Use","Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-07-10T00:00:00,zip,csv,2538KB,376295,https://fenixservices.fao.org/faostat/static/bulkdownloads/Inputs_LandUse_E_All_Data_(Normalized).zip
SCL,Food Balances: Supply Utilization Accounts (2010-),"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-09-04T00:00:00,zip,csv,73725KB,9959324,https://fenixservices.fao.org/faostat/static/bulkdownloads/SUA_Crops_Livestock_E_All_Data_(Normalized).zip
TCL,Trade: Crops and livestock products,"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2023-08-14T00:00:00,zip,csv,234036KB,15697216,https://fenixservices.fao.org/faostat/static/bulkdownloads/Trade_CropsLivestock_E_All_Data_(Normalized).zip
TM,Trade: Detailed trade matrix,"Viale delle Terme di Caracalla, 00153 Rome, Italy",Food and Agriculture Organization of the United Nations (FAO),,,2022-02-14T00:00:00,zip,csv,465008KB,46807399,https://fenixservices.fao.org/faostat/static/bulkdownloads/Trade_DetailedTradeMatrix_E_All_Data_(Normalized).zip
