# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (main domain:PD FAO.udpate:2023-11-07T00:00:00)
# Date of CSV last update: 2024-06-12
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bahrain,13,GDP Deflator,22024,"Value US$, 2015 prices",6179,8.9475356668,9.4942490193,10.8134505608,13.5269955491,17.0751405861,19.7530473037,21.7865676057,24.2448121409,26.6608725996,30.7261485672,38.6162217692,46.6978754234,53.077917362,50.1301931937,49.9702450236,55.661612222,45.9851153078,45.8453108793,46.1777290031,48.3811333357,50.6896439863,51.3293184222,49.7665224808,48.2596484075,53.1468297845,55.2037314653,55.6021392968,56.3206346248,51.3650907965,52.5287504411,58.6675097799,56.6940070852,58.6296772632,63.673389612,70.6717814883,80.3785443309,87.4859014336,94.8659262731,105.6504893941,91.9218856429,98.7595759843,108.3756474777,111.6427589264,112.0718439784,110.1990118042,100,100.2475243717,105.7797862696,110.3648297615,110.484951801,104.4046824798,114.3241837867,123.1367560462
Bangladesh,16,GDP Deflator,22024,"Value US$, 2015 prices",6179,18.9739050867,18.0717349777,23.394222485,24.6761979722,26.8967336708,29.3880737658,31.0054130231,31.8035298487,38.065515898,42.0392555055,47.2665528602,46.3667475177,41.6873316884,40.5595359548,45.095901195,45.4244039343,45.9214739445,50.0832683449,52.5753122646,55.7052608608,54.5338481055,56.3587423569,55.1948202632,54.490992716,55.6396629475,59.6281265853,59.8986826386,58.7979581649,57.9225949774,57.9272836875,55.545983087,52.7209260448,52.4494433199,54.577107166,55.5888090009,54.037876228,61.5331600329,65.5706424585,71.0103172375,75.329660788,80.0045525663,81.0521191032,79.4124872635,89.2069988904,94.824636558700007,100,105.768878725,108.64354819,110.7797626968,113.4897999032,117.2687601709,121.7968389345,118.6561258001
Barbados,14,GDP Deflator,22024,"Value US$, 2015 prices",6179,8.2623321616,8.9374721275,10.0956659333,12.1548428959,15.2426665961,17.2271188947,17.9162999283,19.6634786228,20.9832884319,23.5809879279,28.9973712482,32.5423694879,35.7652464114,37.7785472987,39.765582352,41.1707917928,43.0124393511,46.1802530932,47.4801651855,50.6786295503,52.6084073647,54.3122605222,56.4365728315,58.8090285223,59.5750993655,61.3977397547,62.9691028636,63.5448333499,69.0665723157,72.1382425379,71.1695337333,72.7819500804,73.4374905641,74.2636104693,78.5891754755,83.8290428398,85.0154029653,92.1886913613,93.722227226,92.1459932593,95.6608485084,99.0402351457,98.4539898333,101.3551355999,101.857822023,100,99.7614449125,102.3654891286,105.8298779731,110.6873426139,112.0365890928,116.38167931,123.1482329691
Belarus,57,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,69.8612231766,71.517171412,73.0443660455,74.576033891,75.9414971086,66.2639807172,65.97774976,50.8582070566,41.2608435695,46.7247696647,52.5640381452,60.0018479936,69.9079897826,83.388117902,92.7514865169,104.638130005,127.3591962196,103.0009380918,107.5407771347,109.9563160238,114.9330025157,130.9084430106,134.2576304895,100,86.6693282863,96.9186353976,103.0682276757,109.0101030999,104.5645945105,113.6508266472,124.5923153842
Belgium,255,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6136514586,64.0014716776,68.4157372653,83.5635747926,93.6942195716,95.7940260473,98.8211748836,109.8986779289,119.8650283801,114.2819711373,111.0154275333,118.6292110107,111.7959822956,116.9954808633,118.0555421679,100,101.6529618883,105.7153721396,112.2262953447,108.2577301577,112.1236679118,119.5009712649,112.6751852506
Belize,23,GDP Deflator,22024,"Value US$, 2015 prices",6179,10.7745380569,12.7944926986,15.8933509447,26.0123911176,31.7504205129,36.5448056578,28.9975041277,35.7837847523,37.8675563278,42.6137681232,56.2982938893,55.0541128842,51.3036039894,55.284353078,60.4910276712,59.3979017833,61.861813777,67.471352425,70.3708160531,71.8047234403,71.9190558674,70.3351549582,72.69191384,74.0596924061,75.9889396576,80.1015762356,82.4414401246,81.1162443372,82.249841829,80.4955032181,81.5194894254,80.9103508146,81.570812793299993,78.565701794,80.3742897695,82.7092858549,85.5659575687,88.8675401294,92.0029925874,89.8240777887,91.7711988059,96.151420849,96.8432325006,98.7926669843,99.9822434356,100,102.0494853907,105.1051489444,105.2479088011,105.1449298131,104.4994752296,108.6488652714,109.8309192705
Benin,53,GDP Deflator,22024,"Value US$, 2015 prices",6179,24.3709082088,25.3363292102,28.4121827748,33.3658985595,33.5631429614,43.8376271683,46.0354328598,48.3107610535,58.9484680662,66.4722669158,77.627029508,69.5242619524,61.2096936787,55.2873102421,49.1571817031,45.4735217387,56.8616434541,67.5284282301,67.945215041,63.4621357847,71.5220837364,69.5490984905,76.3673866042,73.083706295,50.3308036145,65.945521286,68.78366205,62.4958777087,65.0650784628,62.6162280102,56.4995488009,55.9573813915,60.9433859346,75.3222723871,83.5047539341,87.2250119887,89.831433968,98.3903858113,112.0783523567,108.9907285079,104.824706622,114.1327521244,113.6113247706,119.0432254967,118.6582045625,100,100.522821037,102.2139674211,107.569592152,101.5710793025,106.6079723142,112.1791506021,103.8411878932
Bhutan,18,GDP Deflator,22024,"Value US$, 2015 prices",6179,60.3912735395,63.1516921023,65.9734376097,73.1404478359,81.8954224103,79.1526732507,74.0200484766,75.9072797692,68.1081175611,72.7945598988,84.6443898291,85.4693776225,87.8865930735,91.2451101912,84.3775978421,81.8788992896,84.8388111039,77.7490468924,79.077587784,70.6069337724,68.2314321682,57.7148643463,56.0448941369,51.6979712488,57.3826557594,59.8645720117,59.472528247,65.4880426917,62.4067323699,64.4626696208,64.7911854196,64.9586398302,66.1337492211,71.1339382855,75.8935634778,80.3443253567,84.6429503456,95.485392761400007,95.752713325,90.1521443478,101.0222369051,107.4019054699,102.4124518238,98.8736490452,101.5055280834,100,99.6559042582,108.0786061183,104.7247710228,102.6195075392,104.2068922205,110.868964043,113.12106654
Bolivia (Plurinational State of),19,GDP Deflator,22024,"Value US$, 2015 prices",6179,12.5621322665,12.9531167421,14.0189330554,13.4723941231,21.6449978135,22.5157290791,24.661262312,23.6155113591,25.2765864637,27.3736728918,29.8463578141,32.6704634194,34.6889320418,36.0476236914,37.3481157581,38.5292294386,39.3051701645,40.2771123498,41.6978558516,41.2093239804,40.650205615,42.3910123642,44.049665182,42.9271522619,42.7733781626,45.8778992119,48.4230137646,49.4355065711,50.4637529436,48.9930576224,48.4451319877,46.1886538685,43.7618601836,43.5601329671,45.3887637022,47.3115119271,54.1414169888,59.3208244679,71.0239002559,71.4604158171,77.7699373107,90.1499926771,96.9276274473,102.7388153065,104.8444448242,100,98.6451297751,104.6245190033,107.8220053336,107.0747951474,105.0892145085,109.2580724635,112.9835110894
Bosnia and Herzegovina,80,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,158.592819006,124.3260650892,84.9267718039,52.8474531142,47.6098960252,47.84160222,45.8588043307,46.3901521463,52.1501978008,53.0456401906,58.5831736363,71.2454219606,80.0762890755,85.1638750607,92.6105573525,107.300070488,123.2648077729,117.1169189188,113.2269350651,121.7354400034,113.4120794902,116.934200457,118.0143780568,100,101.1404237757,104.7994095113,112.7715930084,109.7698662944,111.8918343632,121.8473507419,121.6309570325
Botswana,20,GDP Deflator,22024,"Value US$, 2015 prices",6179,15.4828388735,16.2320963095,16.720918724,20.3633292619,26.0162133933,27.919639656,27.338599853,31.8667460359,33.9863197717,38.782252092,49.5470990652,50.6825935729,40.9406705429,39.7137686225,36.5959580544,28.935202253,36.0225442047,45.8564419778,47.3807338299,60.0518800037,69.0697854885,66.8211825163,68.2589228698,67.1966659461,67.6485139459,70.1993739796,67.9751179189,65.1636224759,61.7352795142,64.4459472325,66.6931852234,63.0938748783,58.933095495,77.793064337,90.3243983646,95.7790004365,90.128473638,90.8574535877,89.3578967116,98.1398110123,111.3035757287,124.569132679,115.1689865425,106.0772828631,108.7867068444,100,103.9810084973,106.643912585,108.2456107462,102.9871617215,100.8989094729,106.8900244238,109.7580401109
Brazil,21,GDP Deflator,22024,"Value US$, 2015 prices",6179,10.2002620261,10.2327191778,11.7656598904,14.6158561578,17.3261757984,19.3723661528,20.7714022505,23.0389672763,24.9201384973,25.7333468271,22.1977747432,29.5268001748,32.0703935251,23.2607445302,22.4358842587,22.2769975291,24.9184256556,26.3877898502,29.4951850622,38.8916282479,44.0618919576,40.5777054505,39.2370989027,41.9979712943,56.5978977924,72.7855773658,77.8075154965,78.0921626741,75.6117876707,52.4761769335,55.2459984097,46.5525085884,41.1245066587,44.5240122402,50.4743473061,65.1560548123,77.8550970395,92.5834845164,106.9329980252,105.2456597682,129.6913399024,147.7353105108,136.5882337093,133.0120476511,131.4472584725,100,103.0129099571,116.8314017581,106.6303966678,103.3948526213,82.8176067261,87.9271697184,99.4588944401
Brunei Darussalam,26,GDP Deflator,22024,"Value US$, 2015 prices",6179,4.5237368259,4.5363845285,5.6468183132,8.2413275877,18.3154991303,19.8599403355,20.1323742686,22.1015560422,23.1895547709,27.3271412677,51.6516965003,57.0712527587,53.6193034573,48.1022828051,47.0420512285,44.4838668928,30.6394722387,35.0870606559,33.5069488497,36.771702302,42.8898028585,43.7179590481,47.1826035828,46.1536358245,44.5456168924,49.3800446329,51.8670115182,53.478025338,41.9123981,46.1897680451,58.5949531944,53.2258755748,53.4590165494,58.2989030763,69.6369412048,83.9887137528,96.8178019179,103.2179374856,123.6996101437,93.8962401243,105.4835431853,137.4128142478,140.0185924535,135.8913274495,131.7116308546,100,90.4073018318,94.9185189261,106.1230084232,101.4348096802,89.4001241863,106.0002226511,128.3344137892
Bulgaria,27,GDP Deflator,22024,"Value US$, 2015 prices",6179,58.1651273418,53.792452574,58.4439354886,64.4214695068,65.1440296819,52.8253570049,52.5819931612,50.5863523096,51.8904315547,32.7076685175,35.6621773663,39.0365842415,41.448368837,43.0718132417,44.6257173744,46.0369812151,46.9641206658,48.1254541463,49.8230417407,51.7762784517,53.7144352818,23.783876855,28.9206097373,36.9608036245,32.5309944012,56.1742065752,34.5661557883,37.0436951242,47.4080920667,46.9538346098,43.606968273,44.9734979035,49.126781473,60.1770719925,69.8929001224,74.5478751536,80.3434484931,97.2919805147,112.3898749104,111.1247972698,106.6154958673,118.8385074335,111.0346862228,114.7704405186,116.2606927503,100,103.1093119419,110.0980368889,120.1889339927,119.9670423428,127.313021626,141.5531382322,145.0615240776
Burkina Faso,233,GDP Deflator,22024,"Value US$, 2015 prices",6179,34.9280164303,35.8125913197,37.3490464543,45.5834301224,47.5840144419,55.2886081217,53.5451997773,60.4251408134,69.7278436442,92.971262471,99.1880799736,88.0548880404,79.0019472283,73.0358870012,64.2496994587,66.413210516,80.6939802613,94.1299147251,98.2191946613,96.1296127499,114.6816963133,106.2799389288,113.5388547868,104.5958262623,61.1579014947,72.626473346,71.1125466881,63.2959508835,67.5942960206,67.6398114661,58.0136920405,58.5790057096,63.4922612432,77.2718086676,85.0887803367,88.4072450151,88.5901550827,99.0626649795,115.7339786966,112.3983663451,111.2083159893,124.5907308792,121.8624385361,123.2479815567,122.390487917,100,102.4404217499,106.0292080816,112.0320158806,107.9243550602,117.3692993176,120.8309276939,113.9237285207
Burundi,29,GDP Deflator,22024,"Value US$, 2015 prices",6179,23.7384162449,23.6548760311,24.5457434306,28.4728607144,32.4554079263,38.8656393459,38.8082802092,42.2729959053,45.5317943399,57.8874341247,70.7393107622,66.5925055963,70.4055924144,72.2989966758,65.7820867498,68.5549403858,69.554288117,62.943974814,56.2409645638,57.5807072089,56.4553886936,54.4874046636,49.8258489857,48.0723400946,54.3833623966,54.7474238914,52.0316394448,58.0322822551,51.0197478563,46.6019268421,41.262599564,37.7483364601,34.2553947522,32.8708433915,36.0210507946,58.651896691,63.4223612962,65.3161157347,74.0015876353,78.5409181394,85.5379981368,90.4605495571,90.1773973651,90.5543977864,95.8826471875,100,101.0211963016,109.503245713,104.5997420471,101.6796354146,108.7674489385,115.261260614,121.9509175011
Cabo Verde,35,GDP Deflator,22024,"Value US$, 2015 prices",6179,28.2403537992,30.2355965369,33.425220694,40.5994137123,39.7369805368,55.6739199758,50.8942770639,50.2449589618,52.7379442873,54.7913972031,58.1813299477,52.6039025249,51.5894538429,46.3862234234,42.6143949806,40.9221093437,55.0675932935,65.367240833,69.295084424,66.3025479792,75.5868418818,77.6992202675,84.1727099815,79.113553581,83.7080250991,93.4038811571,90.0849243311,81.7827197611,80.3796363261,81.582777209,68.7155766377,67.5994552178,70.8163789657,88.6722869115,96.5613070885,95.3239713559,98.6486556244,109.0974348168,120.9019401313,117.153214625,112.2557766064,120.9783571995,112.434985082,117.8472845186,117.585243855,100,99.5064313357,102.1150100485,108.5468481587,103.5262287119,104.4356728122,110.9711205258,104.3253234151
Cambodia,115,GDP Deflator,22024,"Value US$, 2015 prices",6179,20.3268024461,21.3572021067,22.2804208693,23.5013613565,25.6161770957,27.9889042031,29.5292417528,31.3640018189,33.5700926299,36.3552545324,39.6392526308,43.3899761279,46.0707249193,47.8752171754,49.6024139712,51.1710631127,52.2015979152,53.4924442578,55.3793482129,57.5504114836,55.4524178522,68.2548708894,67.8972385018,66.3239206485,67.7292029597,79.0709836236,80.101762308,74.4719001806,64.4650725275,64.647538021,62.0397783906,62.4527773938,62.9663279905,63.1102861559,65.4472570137,68.1310458378,71.0986218588,76.6129639507,86.0433418815,86.3832900088,88.1089253341,93.9096983807,95.8015797094,98.094909124,99.4924096061,100,103.7555034361,107.4265747296,110.7841131625,114.1233889784,109.9685486733,112.5770814948,118.9452889345
Cameroon,32,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.0070994541,23.9875458361,30.0524448756,38.9457188605,40.1932265904,50.850144037,58.6278614089,60.2922322057,65.052768307,81.640262905,90.897634609,79.5099494283,74.2466135501,71.4660035804,65.1562946942,62.5621921382,80.7384180136,93.2311792568,94.7077230781,90.1208780506,106.7988483329,106.6224701552,112.0958164407,122.4042266456,66.1002675314,78.4015115843,76.8145295158,71.4731828921,71.4657628535,69.9753379938,61.4397013711,61.1479423986,66.0949915602,80.8104981909,89.0288710937,90.3768312585,93.2646729933,102.2530275697,114.8438122456,112.8386557838,108.3182462155,116.6358321282,109.8971215257,117.0322559085,119.2990011742,100,100.5010741232,103.6206835509,110.37865347340001,105.8635376722,108.3552388042,116.2317382612,109.7890922128
Canada,33,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.4776949935,21.1594929842,22.8400791492,24.7852617416,29.1906011167,31.11289244,35.0739682897,34.7316336929,34.587156313,37.0517315605,40.7830961458,43.8697678029,46.404669255500004,49.1412347925,48.4174289535,47.4537237836,48.0831926503,52.7999599765,59.4709345769,64.724177951,67.9069382351,71.2653654619,68.5373629207,65.0413218567,62.336549893,63.4242704198,64.9557449501,64.6977411092,60.2769930261,61.3300681205,64.0155862749,62.4028035941,62.3483523035,72.1092168191,80.1900075067,88.7859248029,97.2858663463,106.1105240434,111.0713081135,101.2815362225,115.587710589,124.2272763697,124.5188130841,122.9170727963,116.6627505976,100,97.234416124,101.8542310833,103.8020332769,103.0645895672,102.3903683466,118.3545887009,122.3796201738
Central African Republic,37,GDP Deflator,22024,"Value US$, 2015 prices",6179,19.338958093,21.2463467369,24.7794879159,27.9122908391,29.854310261,39.4549124911,45.0098582657,46.8444096806,55.7077992097,65.552079816,78.0545336735,68.6698052574,63.4303299206,59.4549108201,53.1089649353,56.4583078069,70.7318804403,79.619737972,82.1443629036,78.1974946632,92.7346098705,87.6239894078,91.0329265293,82.7372523785,52.3606400649,65.2516095172,63.7704640491,55.9154357229,55.1686046181,53.8064573048,48.3034118519,48.9105614642,52.3558558562,64.7577249829,70.2186872383,72.9171288082,75.7517331954,83.113684499,93.8385126063,92.4363600094,91.8380596535,100.2590593791,98.3944403177,104.2073479527,116.513021329,100,102.815698425,111.6928911794,115.3330083668,112.0201651605,116.154372895,124.5402860558,117.914639829
Chad,39,GDP Deflator,22024,"Value US$, 2015 prices",6179,17.6450369006,18.9031617961,21.0887400524,24.5775013443,25.1883982247,31.038508558,29.5905483071,32.3514057556,38.7090573661,44.4256386805,48.6358896222,64.0629198398,56.8446144593,52.6070792188,53.9417376234,49.3581272448,57.3535625407,62.8164307589,68.1798523818,63.2783238307,73.798127334,70.5686594469,71.865352046500007,63.8098331448,48.9691547257,59.140658121,64.7380084623,58.5299015194,62.3709650388,54.5192547331,49.653984837,54.9511698686,58.861816837,70.5596494325,85.5928522981,105.5189345801,119.6535239431,114.4887604522,139.5385020493,116.2486694346,117.6690692417,138.8226107302,137.789457153,128.530785735,126.259943737,100,94.9753341342,97.325420681,105.6214373951,101.7113713499,101.3045907949,112.7521769314,118.9384235638
Chile,40,GDP Deflator,22024,"Value US$, 2015 prices",6179,22.9526915014,25.2178899901,27.5607502235,41.6041586986,39.9339372545,21.3315600131,28.1380560759,34.721151794,36.9776836589,45.9738977153,56.6533547238,63.9556751439,52.8829114237,44.8836805223,42.0192526486,36.3484209404,37.0039336048,40.5366029786,44.0881684591,45.4793983283,48.2773691441,51.0953017044,55.0055087338,54.595517998,59.1323942323,68.4586029457,67.0102915566,68.7004310508,63.787452056,59.1114324124,58.2777793677,51.4047582763,49.3502465199,51.6174438116,62.9252915012,73.4182503219,86.9277777883,92.9363388343,92.8872705243,90.5560631385,108.4583614985,117.9810281506,118.6268275844,118.8219058167,109.2755418504,100,100.9461693759,110.3585197298,113.4617078625,106.1838945351,102.4530455198,115.1019586845,106.6738498018
"China, Hong Kong SAR",96,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.1979710507,15.4851908266,17.9178434213,22.442063343,25.6201725628,27.285291954,30.1002873864,32.8894259938,35.3963279209,39.0247750006,45.4105882403,44.7201099703,45.1676332674,39.4736629194,40.2193119971,42.5237700302,44.0560368389,47.8810342886,52.0437322765,58.6258192717,63.143118671,69.0794058906,76.2177745543,82.8358938228,88.1538185009,91.7149533609,97.1309316886,102.6220288236,103.8303755766,99.4215971191,95.6319421662,93.8441283432,90.6497461923,85.3368885841,82.2593619878,82.248542516,81.9087292762,84.1149017922,85.3523367702,85.4166762193,85.4558576193,88.6176301508,92.0852578289,93.7593075868,96.4555351188,100,101.5007920195,104.0092119539,107.1930813696,109.4207836225,111.2396852011,111.9568365804,113.1364317538
