# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (main domain:PD FAO.udpate:2023-11-07T00:00:00)
# Date of CSV last update: 2024-06-12
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,2,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.5409188235,17.3664566715,18.1057740083,19.0936168452,22.0400875741,23.3848056359,23.989457062,28.1310888589,30.2763485592,34.2715198031,35.655928385,33.2424520974,32.6013202923,31.0573883851,29.9545113911,29.4314335704,28.6624452596,27.8062670247,27.7180374625,35.1814051367,40.8927850313,43.0288892492,44.1937103463,45.125966135,35.3414144099,43.5183020889,40.6931653956,47.0076458447,49.4925486243,38.2011799545,62.530553787,71.3496030079,55.2727539837,54.4991392214,60.3718967059,64.8270654511,68.2007781207,73.6698694934,81.0204757156,82.7740738417,99.6969959373,110.2289594493,110.8210173979,106.5453974325,102.9939117014,100,94.8255616008,96.8752823588,93.31752212,92.1725606249,100.5779987751,94.1068937006,90.3353901007
Albania,3,GDP Deflator,22024,"Value US$, 2015 prices",6179,71.714175252,70.9339820649,70.1554488209,69.3870859541,68.6439578667,67.8707339169,67.1321131013,66.4619131665,65.6026301291,52.6694718619,46.064181553,45.0589959154,45.0515570977,45.0469127185,45.0312035929,45.1897583838,44.1334719114,44.1334719092,46.3169864831,50.3971121734,40.8478340881,42.2292104372,43.191576273,44.2153633075,45.1595486578,50.6940137419,62.1335779067,48.4514733858,51.0447765865,56.7104929267,57.5770766384,59.8648037406,63.5227591007,76.8552128519,93.9974243916,99.935040889,104.2561489499,118.0669460356,132.5008315563,119.869040054,114.4591170308,120.6388148684,113.6830976473,116.7259691159,118.7479684083,100,100.8241467847,106.6167946517,119.3182086561,118.7705373126,120.8979706174,134.4070871299,135.0000169551
Algeria,4,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.788716856,17.0064897725,18.6125847955,22.9461498529,31.7685734427,35.2170377473,37.8432369593,40.9029166171,46.646085684,54.6362755122,68.9848144793,70.1654426193,67.18189056,68.8388041372,70.7105446591,74.69079642,80.894020645,83.2907559163,76.7064824769,69.3262493019,76.7378313719,58.5686991022,60.6720632848,64.1712063864,53.9085138551,51.4942614627,55.199638174,56.0354374126,53.3280068242,52.1602512037,56.6040125294,55.347245179,54.0899838027,60.2650293761,72.6535968615,82.9695604878,92.5151271615,103.1965464641,127.6741630234,100.8324685237,114.3500632328,137.8820680058,139.3749792518,136.0300901342,133.5836406328,100,93.4285642343,98.0288766558,99.607892877,96.8452322367,86.5921710903,93.9321520505,106.9586113047
Angola,7,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.2863121101,14.1873423357,14.4936486593,16.3953791864,17.8383727093,13.8400335209,14.0130097843,15.1705446801,17.8679959302,19.7802959727,25.6756073881,25.1363410214,25.1363410214,25.1395493184,25.1398480098,29.9252697903,27.2193292595,29.2929637009,29.9557298572,34.7245505404,38.5313790954,45.1937327024,55.1230585842,52.5467005429,53.3636485105,22.2369836387,25.7276644918,28.1086623917,22.6248992235,21.1383049774,30.4349577178,28.8829191122,32.261683991,36.5039789255,43.5010333324,59.3639249208,75.3331385917,82.3306294348,100.4705372257,79.1029699793,89.9140894925,115.9219400763,122.3361267759,124.4410778247,126.5332383072,100,89.353623299,108.0173920527,90.8266993391,75.0273795003,52.4085764547,66.6956442834,106.3459067149
Antigua and Barbuda,8,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.9518996302,13.5143450044,17.246997239,22.0826166568,22.7645280354,24.6299976806,22.4869634925,23.859565549,26.0916528802,29.0058744526,32.434815446,34.9640986885,38.588868737,40.1326958047,42.2667782575,45.3088292648,49.5877618848,52.9543935526,58.1980716177,60.8643113446,61.8686679069,63.4812139758,65.0436766998,66.2230706966,68.3717365006,70.0149578769,72.0994322894,73.4168969306,74.9659251924,76.0935740083,76.9385865955,78.4561760619,79.0608749366,78.1313874641,79.3640407515,83.0832002606,83.3790976623,86.4746718028,90.2815339911,91.9399482678,93.2945522532,94.2418793118,96.1603725406,95.250171871,97.0708825258,100,101.8736715472,100.9263868057,103.300999311,103.5159449162,105.3222988695,107.351329609,111.4794794322
Argentina,9,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.7876843389,15.8965388903,14.6744506346,15.9282223015,17.0008892226,18.2035787891,19.275939472,20.3957895285,21.8303948484,23.6415660214,25.77712686,28.2161959389,29.959468001,31.1329166085,32.2561005226,33.2761820134,37.3012267939,37.3895350651,44.4703430542,28.8806253383,53.9966757661,65.5847701972,71.7029107425,69.8367526884,71.8221104534,74.040478426,74.0081592204,73.6767507763,72.4204090258,71.0903471969,71.8277432032,71.0406667855,30.2622296982,35.3132001932,38.2701846447,42.5043259441,45.9602281434,52.1212691409,63.2077679348,61.8032045309,71.1584021176,83.4455833796,92.4648619415,95.2446066684,90.3293999363,100,88.2887897001,99.1287060337,83.0028782289,72.2604629676,69.0898355615,79.088534727,97.5966124547
Armenia,1,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,42.3432442705,43.3469229557,44.2725634248,45.2009151314,52.9773628314,52.6136433084,56.5984452105,53.4614569282,52.2929381176,52.8960153612,51.5741943043,53.4224944453,61.6172827051,74.1439408851,85.3341641391,108.1772740984,128.1309673269,110.6755676556,115.9440487307,121.3417092893,111.1719206071,112.7554943617,113.5673249179,100,99.7603323961,101.4078455644,104.1737316907,105.8112745586,105.7893387648,109.7453373423,137.1313935247
Australia,10,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.4051142739,15.4735347477,17.7475080037,24.6236220794,28.9655945724,30.1207613891,31.3282869694,30.7675418842,34.5015767173,37.0670721267,41.3558747838,46.6247156099,45.3358656571,43.4311448713,44.2867705725,37.55144507,38.4708071887,43.1883929105,52.6414771264,56.5271883362,57.487033721,58.214549606,55.3596664781,51.7813672034,56.943004465,59.302003793,63.4025415378,60.8451928865,51.7483976718,54.5073521388,51.2440463794,47.0150437989,50.8533479742,62.6679598579,73.7811047142,80.5346687466,83.3688267382,96.9170128646,102.0092307862,95.9462937083,119.8790015377,137.2209616679,137.5296976833,130.0584691198,120.7174220007,100,102.6540342399,107.7728911887,108.6327148736,102.8322250976,104.6518563246,122.3590230519,121.0242123954
Austria,11,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.3774196539,12.5741208007,14.6244306822,18.6546141431,21.3967315809,24.4466219208,25.0694026701,28.6270727236,34.5326230081,39.0576868216,42.6062989635,36.9354825517,36.3303534844,35.7000446991,33.6364381544,33.4941043498,46.7295310433,57.8059563027,60.089915153,57.7422062444,69.2080927494,69.8482033588,76.7940362053,74.5503021403,77.8403269608,89.7888328464,86.348459646,75.8518875809,75.111144446,72.1743760099,63.2659411499,62.6445948617,66.63953263,80.9605320995,90.6194880457,93.0630887586,95.654199979,106.6787734888,116.4073274657,112.4823955355,108.1745071411,115.6230980041,109.0625369747,114.5323278103,116.9354763597,100,101.580596598,104.7845197591,111.5538440841,107.3819469027,112.3646837313,118.6144779731,110.8603523532
Azerbaijan,52,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,34.5310828141,35.3495867406,36.1044501991,36.8615246796,37.5364473496,44.252780968,45.1588769217,43.3238322589,44.8827869759,44.2080894092,43.6840755264,45.8554640208,49.6617827595,59.9431099777,70.6215897165,88.9558640393,118.7156577132,98.4816457797,112.0333018693,139.5617700524,144.3237863328,145.1701659883,143.340102859,100,73.6541293227,79.4242151691,90.2331989121,90.0301596261,83.3203855042,100.9671278239,138.5762310132
Bahamas,12,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.3880281355,16.708563842,18.6174213028,19.8002085729,28.8402632409,31.6109049621,33.1055198163,32.2057040298,32.8866417264,31.6770998736,35.6940905357,40.7377059935,42.990751599,46.1873274266,43.2053667836,44.8831559515,47.6621995429,50.9556980948,51.7834632089,54.6932977103,57.4544518924,58.9273099121,61.2335018862,60.7060506738,62.0263426579,62.5381137369,68.1118696735,69.3608875056,71.4755406045,75.0144198252,75.7059768417,75.9734062388,78.9831734728,79.894747942,80.8491927182,84.9375178922,85.641168277,88.1645239636,89.4771585451,88.5505385713,88.2031558638,87.4448727501,90.3025653563,91.5963679559,95.1574595912,100,100.6322849739,101.9694419298,103.3624485757,104.914286087,101.2562236076,102.8933869321,100.6566707728
