scenario,region,LandLeaf,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,unit
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,biomass,0,0,0,0,0,24.93890411,46.29974137,63.82259251,81.84158487,101.4148026,118.2484086,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,crops,319.163908,435.6209944,459.1029491,543.936404,591.8430078,628.2322352,664.9674478,699.212572,728.0832277,754.8745593,779.9959368,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,forest (managed),12.5726713,16.2208527,19.16629861,24.0741108,26.19008599,28.21076727,30.22642653,31.95755907,33.34838697,34.39655563,35.08794412,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,forest (unmanaged),147.6777651,126.6568622,116.0143795,102.3399435,99.28084047,95.77679035,91.16118362,86.30907471,81.46829592,76.60511902,71.95894535,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,grass,1089.50272,1090.70194,1064.428633,971.6482,940.1695124,903.3602419,856.5417937,808.3178977,760.6461541,712.9068332,667.5019946,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,otherarable,116.3465663,119.9837274,124.9518485,158.4608344,145.7755795,131.2254889,115.3796288,100.7405332,87.4541347,75.0910654,64.2326054,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,pasture (grazed),465.460977,658.805979,741.36917,763.30577,861.68981,968.37168,1115.53325,1268.21703,1417.24195,1561.238,1694.74117,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,pasture (other),2132.47363,1863.852214,1789.976904,1767.617991,1679.330641,1578.765741,1458.030691,1339.730281,1228.283533,1121.958701,1025.953419,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,rock and desert,938.54368,924.34004,922.8942999,914.44174,914.44174,914.44174,914.44174,914.44174,914.44174,914.44174,914.44174,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,shrubs,594.91214,578.0698,575.339551,565.80265,552.905466,538.303684,519.044086,498.876372,478.815295,458.698916,439.463297,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,urban,3.18541,5.58605,6.5968851,8.2136,8.2136,8.2136,8.2136,8.2136,8.2136,8.2136,8.2136,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,biomass,0,0,0,0,0,0.266886337,0.772369296,1.507372455,2.548947698,3.950660149,5.428730947,thous km2
