# File: A_forest_mapping.csv
# Title: Maps FAO forest products to GCAM commoditties
# Units: NA
# Source: Defined by authors
# Column types: ciccn
# ----------
item,item_code,GCAM_commodity,GCAM_supplysector,tonnes_to_m3
Sawnwood,1872,sawnwood,sawnwood,1
Veneer sheets,1634,sawnwood,sawnwood,1
Wood pulp,1875,woodpulp,woodpulp,1
Wood-based panels,1873,sawnwood,sawnwood,1
Industrial roundwood,1865,Forest,Forest,1
