# File: FAO_fodder_Prod_t_HA_ha_PRODSTAT_2011.csv
# Title: FAO fodder crops production and area before 2011
# Units: tonne and ha
# Description:  Data from GCAM 5.4 as FAO discontinued the data
# Data source: FAOSTAT (main domain:NA FAO.udpate:)
# Date of CSV last update: 2023-08-08
# Column types: icicincic
# ----------
area_code,item,item_code,element,year,value,area,element_code,unit
3,Alfalfa for forage and silage,641,Production,1961,47800,Albania,5510,tonnes
3,Clover for forage and silage,640,Production,1961,,Albania,5510,tonnes
3,Maize for forage and silage,636,Production,1961,90000,Albania,5510,tonnes
4,Alfalfa for forage and silage,641,Production,1961,,Algeria,5510,tonnes
4,Beets for Fodder,647,Production,1961,,Algeria,5510,tonnes
4,Clover for forage and silage,640,Production,1961,,Algeria,5510,tonnes
4,forage Products,651,Production,1961,,Algeria,5510,tonnes
4,Maize for forage and silage,636,Production,1961,,Algeria,5510,tonnes
9,Alfalfa for forage and silage,641,Production,1961,44686000,Argentina,5510,tonnes
9,Clover for forage and silage,640,Production,1961,,Argentina,5510,tonnes
9,Grasses Nes for forage;Sil,639,Production,1961,3538000,Argentina,5510,tonnes
9,Maize for forage and silage,636,Production,1961,8640000,Argentina,5510,tonnes
9,Rye grass for forage & silage,638,Production,1961,7265000,Argentina,5510,tonnes
9,Sorghum for forage and silage,637,Production,1961,26102000,Argentina,5510,tonnes
1,forage Products,651,Production,1961,,Armenia,5510,tonnes
1,Grasses Nes for forage;Sil,639,Production,1961,,Armenia,5510,tonnes
1,Maize for forage and silage,636,Production,1961,,Armenia,5510,tonnes
1,Vegetables Roots Fodder,655,Production,1961,,Armenia,5510,tonnes
10,Alfalfa for forage and silage,641,Production,1961,1310000,Australia,5510,tonnes
10,forage Products,651,Production,1961,1900000,Australia,5510,tonnes
10,Grasses Nes for forage;Sil,639,Production,1961,,Australia,5510,tonnes
10,Pumpkins for Fodder,645,Production,1961,,Australia,5510,tonnes
11,Alfalfa for forage and silage,641,Production,1961,424735,Austria,5510,tonnes
11,Beets for Fodder,647,Production,1961,,Austria,5510,tonnes
11,Clover for forage and silage,640,Production,1961,1192470,Austria,5510,tonnes
11,forage Products,651,Production,1961,,Austria,5510,tonnes
11,Grasses Nes for forage;Sil,639,Production,1961,6088360,Austria,5510,tonnes
11,Green Oilseeds for Silage,642,Production,1961,,Austria,5510,tonnes
11,Maize for forage and silage,636,Production,1961,1064180,Austria,5510,tonnes
11,Vegetables Roots Fodder,655,Production,1961,,Austria,5510,tonnes
52,forage Products,651,Production,1961,,Azerbaijan,5510,tonnes
52,Maize for forage and silage,636,Production,1961,,Azerbaijan,5510,tonnes
52,Pumpkins for Fodder,645,Production,1961,,Azerbaijan,5510,tonnes
52,Vegetables Roots Fodder,655,Production,1961,,Azerbaijan,5510,tonnes
13,Alfalfa for forage and silage,641,Production,1961,,Bahrain,5510,tonnes
16,forage Products,651,Production,1961,300000,Bangladesh,5510,tonnes
14,forage Products,651,Production,1961,,Barbados,5510,tonnes
57,forage Products,651,Production,1961,,Belarus,5510,tonnes
57,Maize for forage and silage,636,Production,1961,,Belarus,5510,tonnes
57,Pumpkins for Fodder,645,Production,1961,,Belarus,5510,tonnes
57,Vegetables Roots Fodder,655,Production,1961,,Belarus,5510,tonnes
255,Alfalfa for forage and silage,641,Production,1961,,Belgium,5510,tonnes
255,Beets for Fodder,647,Production,1961,,Belgium,5510,tonnes
255,Cabbage for Fodder,644,Production,1961,,Belgium,5510,tonnes
255,Carrots for Fodder,648,Production,1961,,Belgium,5510,tonnes
255,Clover for forage and silage,640,Production,1961,,Belgium,5510,tonnes
255,Grasses Nes for forage;Sil,639,Production,1961,,Belgium,5510,tonnes
255,Maize for forage and silage,636,Production,1961,,Belgium,5510,tonnes
255,Pumpkins for Fodder,645,Production,1961,,Belgium,5510,tonnes
255,Turnips for Fodder,646,Production,1961,,Belgium,5510,tonnes
15,Alfalfa for forage and silage,641,Production,1961,,Belgium-Luxembourg,5510,tonnes
15,Beets for Fodder,647,Production,1961,3236420,Belgium-Luxembourg,5510,tonnes
15,Clover for forage and silage,640,Production,1961,,Belgium-Luxembourg,5510,tonnes
15,forage Products,651,Production,1961,6000000,Belgium-Luxembourg,5510,tonnes
15,Maize for forage and silage,636,Production,1961,,Belgium-Luxembourg,5510,tonnes
15,Pumpkins for Fodder,645,Production,1961,,Belgium-Luxembourg,5510,tonnes
19,Alfalfa for forage and silage,641,Production,1961,105000,Bolivia (Plurinational State of),5510,tonnes
19,Grasses Nes for forage;Sil,639,Production,1961,96000,Bolivia (Plurinational State of),5510,tonnes
