# File: FAO_fodder_Prod_t_HA_ha_PRODSTAT_2011.csv
# Title: FAO fodder crops production and area before 2011
# Units: tonne and ha
# Description:  Data from GCAM 5.4 as FAO discontinued the data
# Data source: FAOSTAT (main domain:NA FAO.udpate:)
# Date of CSV last update: 2023-08-08
# Column types: icicincic
# ----------
area_code,item,item_code,element,year,value,area,element_code,unit
19,Sorghum for forage and silage,637,Production,1961,,Bolivia (Plurinational State of),5510,tonnes
80,Alfalfa for forage and silage,641,Production,1961,,Bosnia and Herzegovina,5510,tonnes
80,Beets for Fodder,647,Production,1961,,Bosnia and Herzegovina,5510,tonnes
80,Clover for forage and silage,640,Production,1961,,Bosnia and Herzegovina,5510,tonnes
80,Maize for forage and silage,636,Production,1961,,Bosnia and Herzegovina,5510,tonnes
27,Alfalfa for forage and silage,641,Production,1961,1013730,Bulgaria,5510,tonnes
27,Beets for Fodder,647,Production,1961,534664,Bulgaria,5510,tonnes
27,Clover for forage and silage,640,Production,1961,18221,Bulgaria,5510,tonnes
27,Grasses Nes for forage;Sil,639,Production,1961,666450,Bulgaria,5510,tonnes
27,Leguminous for Silage,643,Production,1961,265892,Bulgaria,5510,tonnes
27,Maize for forage and silage,636,Production,1961,3139940,Bulgaria,5510,tonnes
27,Vegetables Roots Fodder,655,Production,1961,,Bulgaria,5510,tonnes
33,Grasses Nes for forage;Sil,639,Production,1961,17950000,Canada,5510,tonnes
33,Maize for forage and silage,636,Production,1961,4960000,Canada,5510,tonnes
33,Pumpkins for Fodder,645,Production,1961,,Canada,5510,tonnes
33,Vegetables Roots Fodder,655,Production,1961,,Canada,5510,tonnes
40,Alfalfa for forage and silage,641,Production,1961,,Chile,5510,tonnes
40,Cabbage for Fodder,644,Production,1961,,Chile,5510,tonnes
40,Clover for forage and silage,640,Production,1961,,Chile,5510,tonnes
40,forage Products,651,Production,1961,,Chile,5510,tonnes
40,Grasses Nes for forage;Sil,639,Production,1961,,Chile,5510,tonnes
40,Maize for forage and silage,636,Production,1961,,Chile,5510,tonnes
40,Pumpkins for Fodder,645,Production,1961,,Chile,5510,tonnes
351,forage Products,651,Production,1961,,,,
98,Alfalfa for forage and silage,641,Production,1961,,Croatia,5510,tonnes
98,Beets for Fodder,647,Production,1961,,Croatia,5510,tonnes
98,Clover for forage and silage,640,Production,1961,,Croatia,5510,tonnes
98,Maize for forage and silage,636,Production,1961,,Croatia,5510,tonnes
50,Alfalfa for forage and silage,641,Production,1961,1200,Cyprus,5510,tonnes
50,forage Products,651,Production,1961,24600,Cyprus,5510,tonnes
50,Grasses Nes for forage;Sil,639,Production,1961,4100,Cyprus,5510,tonnes
50,Leguminous for Silage,643,Production,1961,13500,Cyprus,5510,tonnes
50,Maize for forage and silage,636,Production,1961,470,Cyprus,5510,tonnes
167,Alfalfa for forage and silage,641,Production,1961,,Czechia,5510,tonnes
167,Beets for Fodder,647,Production,1961,,Czechia,5510,tonnes
167,Clover for forage and silage,640,Production,1961,,Czechia,5510,tonnes
167,Maize for forage and silage,636,Production,1961,,Czechia,5510,tonnes
167,Pumpkins for Fodder,645,Production,1961,,Czechia,5510,tonnes
167,Turnips for Fodder,646,Production,1961,,Czechia,5510,tonnes
51,Alfalfa for forage and silage,641,Production,1961,,Czechoslovakia,5510,tonnes
51,Beets for Fodder,647,Production,1961,,Czechoslovakia,5510,tonnes
51,Clover for forage and silage,640,Production,1961,,Czechoslovakia,5510,tonnes
51,Grasses Nes for forage;Sil,639,Production,1961,5000000,Czechoslovakia,5510,tonnes
51,Leguminous for Silage,643,Production,1961,283000,Czechoslovakia,5510,tonnes
51,Maize for forage and silage,636,Production,1961,8236000,Czechoslovakia,5510,tonnes
51,Pumpkins for Fodder,645,Production,1961,,Czechoslovakia,5510,tonnes
54,Alfalfa for forage and silage,641,Production,1961,,Denmark,5510,tonnes
54,Beets for Fodder,647,Production,1961,7800000,Denmark,5510,tonnes
54,Carrots for Fodder,648,Production,1961,,Denmark,5510,tonnes
54,Clover for forage and silage,640,Production,1961,,Denmark,5510,tonnes
54,forage Products,651,Production,1961,,Denmark,5510,tonnes
54,Grasses Nes for forage;Sil,639,Production,1961,,Denmark,5510,tonnes
54,Maize for forage and silage,636,Production,1961,,Denmark,5510,tonnes
54,Rye grass for forage & silage,638,Production,1961,,Denmark,5510,tonnes
54,Swedes for Fodder,649,Production,1961,,Denmark,5510,tonnes
59,Clover for forage and silage,640,Production,1961,,Egypt,5510,tonnes
63,Alfalfa for forage and silage,641,Production,1961,,Estonia,5510,tonnes
63,Clover for forage and silage,640,Production,1961,,Estonia,5510,tonnes
63,forage Products,651,Production,1961,,Estonia,5510,tonnes
63,Grasses Nes for forage;Sil,639,Production,1961,,Estonia,5510,tonnes
63,Maize for forage and silage,636,Production,1961,,Estonia,5510,tonnes
63,Pumpkins for Fodder,645,Production,1961,,Estonia,5510,tonnes
63,Vegetables Roots Fodder,655,Production,1961,,Estonia,5510,tonnes
238,Vegetables Roots Fodder,655,Production,1961,,Ethiopia,5510,tonnes
67,Pumpkins for Fodder,645,Production,1961,,Finland,5510,tonnes
67,Swedes for Fodder,649,Production,1961,,Finland,5510,tonnes
68,Alfalfa for forage and silage,641,Production,1961,,France,5510,tonnes
68,Beets for Fodder,647,Production,1961,,France,5510,tonnes
68,Cabbage for Fodder,644,Production,1961,,France,5510,tonnes
68,Carrots for Fodder,648,Production,1961,,France,5510,tonnes
68,Clover for forage and silage,640,Production,1961,,France,5510,tonnes
68,Grasses Nes for forage;Sil,639,Production,1961,,France,5510,tonnes
68,Green Oilseeds for Silage,642,Production,1961,,France,5510,tonnes
68,Leguminous for Silage,643,Production,1961,,France,5510,tonnes
68,Maize for forage and silage,636,Production,1961,12000000,France,5510,tonnes
68,Pumpkins for Fodder,645,Production,1961,,France,5510,tonnes
68,Rye grass for forage & silage,638,Production,1961,,France,5510,tonnes
68,Sorghum for forage and silage,637,Production,1961,,France,5510,tonnes
68,Swedes for Fodder,649,Production,1961,,France,5510,tonnes
68,Turnips for Fodder,646,Production,1961,,France,5510,tonnes
68,Vegetables Roots Fodder,655,Production,1961,,France,5510,tonnes
73,forage Products,651,Production,1961,,Georgia,5510,tonnes
73,Grasses Nes for forage;Sil,639,Production,1961,,Georgia,5510,tonnes
73,Maize for forage and silage,636,Production,1961,,Georgia,5510,tonnes
73,Vegetables Roots Fodder,655,Production,1961,,Georgia,5510,tonnes
79,Alfalfa for forage and silage,641,Production,1961,1862710,Germany,5510,tonnes
79,Beets for Fodder,647,Production,1961,28424400,Germany,5510,tonnes
79,Carrots for Fodder,648,Production,1961,67251,Germany,5510,tonnes
79,Clover for forage and silage,640,Production,1961,4716930,Germany,5510,tonnes
79,forage Products,651,Production,1961,,Germany,5510,tonnes
79,Grasses Nes for forage;Sil,639,Production,1961,,Germany,5510,tonnes
79,Green Oilseeds for Silage,642,Production,1961,,Germany,5510,tonnes
79,Leguminous for Silage,643,Production,1961,2586130,Germany,5510,tonnes
79,Maize for forage and silage,636,Production,1961,11053300,Germany,5510,tonnes
79,Pumpkins for Fodder,645,Production,1961,,Germany,5510,tonnes
79,Rye grass for forage & silage,638,Production,1961,,Germany,5510,tonnes
79,Turnips for Fodder,646,Production,1961,3004670,Germany,5510,tonnes
79,Vegetables Roots Fodder,655,Production,1961,550000,Germany,5510,tonnes
84,Grasses Nes for forage;Sil,639,Production,1961,,Greece,5510,tonnes
84,Leguminous for Silage,643,Production,1961,,Greece,5510,tonnes
84,Maize for forage and silage,636,Production,1961,,Greece,5510,tonnes
84,Sorghum for forage and silage,637,Production,1961,,Greece,5510,tonnes
86,forage Products,651,Production,1961,,Grenada,5510,tonnes
95,Beets for Fodder,647,Production,1961,,Honduras,5510,tonnes
97,Alfalfa for forage and silage,641,Production,1961,,Hungary,5510,tonnes
97,Clover for forage and silage,640,Production,1961,360000,Hungary,5510,tonnes
97,Grasses Nes for forage;Sil,639,Production,1961,1760000,Hungary,5510,tonnes
97,Leguminous for Silage,643,Production,1961,1400000,Hungary,5510,tonnes
97,Maize for forage and silage,636,Production,1961,3500000,Hungary,5510,tonnes
97,Pumpkins for Fodder,645,Production,1961,,Hungary,5510,tonnes
97,Sorghum for forage and silage,637,Production,1961,,Hungary,5510,tonnes
97,Turnips for Fodder,646,Production,1961,707300,Hungary,5510,tonnes
97,Vegetables Roots Fodder,655,Production,1961,150000,Hungary,5510,tonnes
99,Pumpkins for Fodder,645,Production,1961,,Iceland,5510,tonnes
100,forage Products,651,Production,1961,76160000,India,5510,tonnes
102,Alfalfa for forage and silage,641,Production,1961,2565000,Iran (Islamic Republic of),5510,tonnes
102,Clover for forage and silage,640,Production,1961,100000,Iran (Islamic Republic of),5510,tonnes
102,forage Products,651,Production,1961,450000,Iran (Islamic Republic of),5510,tonnes
103,Alfalfa for forage and silage,641,Production,1961,210000,Iraq,5510,tonnes
103,Clover for forage and silage,640,Production,1961,720000,Iraq,5510,tonnes
103,forage Products,651,Production,1961,,Iraq,5510,tonnes
103,Leguminous for Silage,643,Production,1961,11000,Iraq,5510,tonnes
104,Beets for Fodder,647,Production,1961,1418100,Ireland,5510,tonnes
104,Cabbage for Fodder,644,Production,1961,512500,Ireland,5510,tonnes
104,forage Products,651,Production,1961,,Ireland,5510,tonnes
104,Pumpkins for Fodder,645,Production,1961,,Ireland,5510,tonnes
104,Turnips for Fodder,646,Production,1961,,Ireland,5510,tonnes
104,Vegetables Roots Fodder,655,Production,1961,2111400,Ireland,5510,tonnes
105,Grasses Nes for forage;Sil,639,Production,1961,1558950,Israel,5510,tonnes
105,Pumpkins for Fodder,645,Production,1961,,Israel,5510,tonnes
106,Alfalfa for forage and silage,641,Production,1961,,Italy,5510,tonnes
106,Beets for Fodder,647,Production,1961,1508100,Italy,5510,tonnes
106,Cabbage for Fodder,644,Production,1961,50000,Italy,5510,tonnes
106,Carrots for Fodder,648,Production,1961,,Italy,5510,tonnes
106,Clover for forage and silage,640,Production,1961,,Italy,5510,tonnes
106,forage Products,651,Production,1961,,Italy,5510,tonnes
106,Grasses Nes for forage;Sil,639,Production,1961,,Italy,5510,tonnes
106,Green Oilseeds for Silage,642,Production,1961,,Italy,5510,tonnes
106,Leguminous for Silage,643,Production,1961,,Italy,5510,tonnes
106,Maize for forage and silage,636,Production,1961,,Italy,5510,tonnes
106,Pumpkins for Fodder,645,Production,1961,,Italy,5510,tonnes
106,Sorghum for forage and silage,637,Production,1961,,Italy,5510,tonnes
106,Swedes for Fodder,649,Production,1961,373300,Italy,5510,tonnes
106,Turnips for Fodder,646,Production,1961,980600,Italy,5510,tonnes
110,Grasses Nes for forage;Sil,639,Production,1961,4615300,Japan,5510,tonnes
110,Leguminous for Silage,643,Production,1961,1839000,Japan,5510,tonnes
110,Maize for forage and silage,636,Production,1961,2107000,Japan,5510,tonnes
110,Pumpkins for Fodder,645,Production,1961,,Japan,5510,tonnes
110,Sorghum for forage and silage,637,Production,1961,,Japan,5510,tonnes
110,Turnips for Fodder,646,Production,1961,228300,Japan,5510,tonnes
110,Vegetables Roots Fodder,655,Production,1961,84300,Japan,5510,tonnes
112,Alfalfa for forage and silage,641,Production,1961,,Jordan,5510,tonnes
112,Clover for forage and silage,640,Production,1961,,Jordan,5510,tonnes
112,forage Products,651,Production,1961,,Jordan,5510,tonnes
112,Grasses Nes for forage;Sil,639,Production,1961,,Jordan,5510,tonnes
108,Maize for forage and silage,636,Production,1961,,Kazakhstan,5510,tonnes
108,Pumpkins for Fodder,645,Production,1961,,Kazakhstan,5510,tonnes
108,Vegetables Roots Fodder,655,Production,1961,,Kazakhstan,5510,tonnes
118,forage Products,651,Production,1961,,Kuwait,5510,tonnes
113,forage Products,651,Production,1961,,Kyrgyzstan,5510,tonnes
113,Maize for forage and silage,636,Production,1961,,Kyrgyzstan,5510,tonnes
113,Pumpkins for Fodder,645,Production,1961,,Kyrgyzstan,5510,tonnes
113,Vegetables Roots Fodder,655,Production,1961,,Kyrgyzstan,5510,tonnes
120,forage Products,651,Production,1961,,Lao Peoples Democratic Republic,5510,tonnes
119,forage Products,651,Production,1961,,Latvia,5510,tonnes
119,Grasses Nes for forage;Sil,639,Production,1961,,Latvia,5510,tonnes
119,Maize for forage and silage,636,Production,1961,,Latvia,5510,tonnes
119,Pumpkins for Fodder,645,Production,1961,,Latvia,5510,tonnes
119,Vegetables Roots Fodder,655,Production,1961,,Latvia,5510,tonnes
121,Alfalfa for forage and silage,641,Production,1961,,Lebanon,5510,tonnes
124,forage Products,651,Production,1961,,Libya,5510,tonnes
126,Clover for forage and silage,640,Production,1961,,Lithuania,5510,tonnes
126,forage Products,651,Production,1961,,Lithuania,5510,tonnes
126,Grasses Nes for forage;Sil,639,Production,1961,,Lithuania,5510,tonnes
126,Maize for forage and silage,636,Production,1961,,Lithuania,5510,tonnes
126,Pumpkins for Fodder,645,Production,1961,,Lithuania,5510,tonnes
126,Vegetables Roots Fodder,655,Production,1961,,Lithuania,5510,tonnes
256,Alfalfa for forage and silage,641,Production,1961,,Luxembourg,5510,tonnes
256,Beets for Fodder,647,Production,1961,,Luxembourg,5510,tonnes
256,Clover for forage and silage,640,Production,1961,,Luxembourg,5510,tonnes
256,forage Products,651,Production,1961,,Luxembourg,5510,tonnes
256,Maize for forage and silage,636,Production,1961,,Luxembourg,5510,tonnes
134,Leguminous for Silage,643,Production,1961,,Malta,5510,tonnes
138,Alfalfa for forage and silage,641,Production,1961,4230100,Mexico,5510,tonnes
138,Beets for Fodder,647,Production,1961,37547,Mexico,5510,tonnes
138,Clover for forage and silage,640,Production,1961,,Mexico,5510,tonnes
138,forage Products,651,Production,1961,,Mexico,5510,tonnes
138,Grasses Nes for forage;Sil,639,Production,1961,,Mexico,5510,tonnes
138,Maize for forage and silage,636,Production,1961,,Mexico,5510,tonnes
138,Pumpkins for Fodder,645,Production,1961,,Mexico,5510,tonnes
138,Rye grass for forage & silage,638,Production,1961,,Mexico,5510,tonnes
138,Sorghum for forage and silage,637,Production,1961,,Mexico,5510,tonnes
138,Swedes for Fodder,649,Production,1961,,Mexico,5510,tonnes
138,Turnips for Fodder,646,Production,1961,,Mexico,5510,tonnes
141,forage Products,651,Production,1961,,Mongolia,5510,tonnes
141,Grasses Nes for forage;Sil,639,Production,1961,1200000,Mongolia,5510,tonnes
141,Maize for forage and silage,636,Production,1961,25000,Mongolia,5510,tonnes
141,Vegetables Roots Fodder,655,Production,1961,275,Mongolia,5510,tonnes
273,Alfalfa for forage and silage,641,Production,1961,,Montenegro,5510,tonnes
273,Clover for forage and silage,640,Production,1961,,Montenegro,5510,tonnes
273,Maize for forage and silage,636,Production,1961,,Montenegro,5510,tonnes
143,forage Products,651,Production,1961,143000,Morocco,5510,tonnes
28,Grasses Nes for forage;Sil,639,Production,1961,480000,Myanmar,5510,tonnes
149,Grasses Nes for forage;Sil,639,Production,1961,,Nepal,5510,tonnes
150,Alfalfa for forage and silage,641,Production,1961,,Netherlands,5510,tonnes
150,Beets for Fodder,647,Production,1961,,Netherlands,5510,tonnes
150,Grasses Nes for forage;Sil,639,Production,1961,,Netherlands,5510,tonnes
150,Maize for forage and silage,636,Production,1961,,Netherlands,5510,tonnes
150,Pumpkins for Fodder,645,Production,1961,,Netherlands,5510,tonnes
156,Alfalfa for forage and silage,641,Production,1961,300000,New Zealand,5510,tonnes
156,Beets for Fodder,647,Production,1961,,New Zealand,5510,tonnes
156,Cabbage for Fodder,644,Production,1961,,New Zealand,5510,tonnes
156,forage Products,651,Production,1961,16000,New Zealand,5510,tonnes
156,Maize for forage and silage,636,Production,1961,105000,New Zealand,5510,tonnes
156,Sorghum for forage and silage,637,Production,1961,,New Zealand,5510,tonnes
156,Swedes for Fodder,649,Production,1961,,New Zealand,5510,tonnes
156,Turnips for Fodder,646,Production,1961,,New Zealand,5510,tonnes
162,Beets for Fodder,647,Production,1961,,Norway,5510,tonnes
162,Cabbage for Fodder,644,Production,1961,,Norway,5510,tonnes
162,forage Products,651,Production,1961,,Norway,5510,tonnes
162,Pumpkins for Fodder,645,Production,1961,,Norway,5510,tonnes
162,Rye grass for forage & silage,638,Production,1961,,Norway,5510,tonnes
162,Turnips for Fodder,646,Production,1961,,Norway,5510,tonnes
162,Vegetables Roots Fodder,655,Production,1961,,Norway,5510,tonnes
299,Alfalfa for forage and silage,641,Production,1961,,Palestine,5510,tonnes
299,Clover for forage and silage,640,Production,1961,,Palestine,5510,tonnes
299,Vegetables Roots Fodder,655,Production,1961,,Palestine,5510,tonnes
221,Alfalfa for forage and silage,641,Production,1961,,Oman,5510,tonnes
165,forage Products,651,Production,1961,10000,Pakistan,5510,tonnes
169,Alfalfa for forage and silage,641,Production,1961,20000,Paraguay,5510,tonnes
169,forage Products,651,Production,1961,,Paraguay,5510,tonnes
170,Alfalfa for forage and silage,641,Production,1961,,Peru,5510,tonnes
170,Clover for forage and silage,640,Production,1961,,Peru,5510,tonnes
170,Maize for forage and silage,636,Production,1961,,Peru,5510,tonnes
170,Rye grass for forage & silage,638,Production,1961,,Peru,5510,tonnes
170,Sorghum for forage and silage,637,Production,1961,,Peru,5510,tonnes
171,forage Products,651,Production,1961,,Philippines,5510,tonnes
173,Alfalfa for forage and silage,641,Production,1961,,Poland,5510,tonnes
173,Clover for forage and silage,640,Production,1961,,Poland,5510,tonnes
173,forage Products,651,Production,1961,,Poland,5510,tonnes
173,Leguminous for Silage,643,Production,1961,6000000,Poland,5510,tonnes
173,Maize for forage and silage,636,Production,1961,3000000,Poland,5510,tonnes
173,Vegetables Roots Fodder,655,Production,1961,5777000,Poland,5510,tonnes
174,forage Products,651,Production,1961,,Portugal,5510,tonnes
174,Maize for forage and silage,636,Production,1961,,Portugal,5510,tonnes
174,Pumpkins for Fodder,645,Production,1961,,Portugal,5510,tonnes
174,Sorghum for forage and silage,637,Production,1961,,Portugal,5510,tonnes
174,Vegetables Roots Fodder,655,Production,1961,,Portugal,5510,tonnes
179,Clover for forage and silage,640,Production,1961,,Qatar,5510,tonnes
117,forage Products,651,Production,1961,1000000,Republic of Korea,5510,tonnes
146,Grasses Nes for forage;Sil,639,Production,1961,,Republic of Moldova,5510,tonnes
146,Maize for forage and silage,636,Production,1961,,Republic of Moldova,5510,tonnes
146,Pumpkins for Fodder,645,Production,1961,,Republic of Moldova,5510,tonnes
146,Vegetables Roots Fodder,655,Production,1961,,Republic of Moldova,5510,tonnes
183,Alfalfa for forage and silage,641,Production,1961,486100,Romania,5510,tonnes
183,Clover for forage and silage,640,Production,1961,,Romania,5510,tonnes
183,forage Products,651,Production,1961,,Romania,5510,tonnes
183,Grasses Nes for forage;Sil,639,Production,1961,288900,Romania,5510,tonnes
183,Leguminous for Silage,643,Production,1961,3870400,Romania,5510,tonnes
183,Maize for forage and silage,636,Production,1961,4942300,Romania,5510,tonnes
183,Pumpkins for Fodder,645,Production,1961,,Romania,5510,tonnes
183,Rye grass for forage & silage,638,Production,1961,,Romania,5510,tonnes
183,Vegetables Roots Fodder,655,Production,1961,378000,Romania,5510,tonnes
185,forage Products,651,Production,1961,,Russian Federation,5510,tonnes
185,Maize for forage and silage,636,Production,1961,,Russian Federation,5510,tonnes
185,Pumpkins for Fodder,645,Production,1961,,Russian Federation,5510,tonnes
185,Vegetables Roots Fodder,655,Production,1961,,Russian Federation,5510,tonnes
191,forage Products,651,Production,1961,,Saint Vincent and the Grenadines,5510,tonnes
194,Alfalfa for forage and silage,641,Production,1961,360000,Saudi Arabia,5510,tonnes
194,forage Products,651,Production,1961,145000,Saudi Arabia,5510,tonnes
272,Alfalfa for forage and silage,641,Production,1961,,Serbia,5510,tonnes
272,Beets for Fodder,647,Production,1961,,Serbia,5510,tonnes
272,Clover for forage and silage,640,Production,1961,,Serbia,5510,tonnes
272,forage Products,651,Production,1961,,Serbia,5510,tonnes
272,Maize for forage and silage,636,Production,1961,,Serbia,5510,tonnes
186,Alfalfa for forage and silage,641,Production,1961,,Serbia and Montenegro,5510,tonnes
186,Beets for Fodder,647,Production,1961,,Serbia and Montenegro,5510,tonnes
186,Clover for forage and silage,640,Production,1961,,Serbia and Montenegro,5510,tonnes
186,Leguminous for Silage,643,Production,1961,,Serbia and Montenegro,5510,tonnes
186,Maize for forage and silage,636,Production,1961,,Serbia and Montenegro,5510,tonnes
199,Alfalfa for forage and silage,641,Production,1961,,Slovakia,5510,tonnes
199,Beets for Fodder,647,Production,1961,,Slovakia,5510,tonnes
199,Clover for forage and silage,640,Production,1961,,Slovakia,5510,tonnes
199,Maize for forage and silage,636,Production,1961,,Slovakia,5510,tonnes
199,Pumpkins for Fodder,645,Production,1961,,Slovakia,5510,tonnes
198,Alfalfa for forage and silage,641,Production,1961,,Slovenia,5510,tonnes
198,Beets for Fodder,647,Production,1961,,Slovenia,5510,tonnes
198,Carrots for Fodder,648,Production,1961,,Slovenia,5510,tonnes
198,Clover for forage and silage,640,Production,1961,,Slovenia,5510,tonnes
198,forage Products,651,Production,1961,,Slovenia,5510,tonnes
198,Grasses Nes for forage;Sil,639,Production,1961,,Slovenia,5510,tonnes
198,Maize for forage and silage,636,Production,1961,,Slovenia,5510,tonnes
198,Pumpkins for Fodder,645,Production,1961,,Slovenia,5510,tonnes
198,Turnips for Fodder,646,Production,1961,,Slovenia,5510,tonnes
202,Alfalfa for forage and silage,641,Production,1961,3380000,South Africa,5510,tonnes
202,Pumpkins for Fodder,645,Production,1961,11000000,South Africa,5510,tonnes
203,Alfalfa for forage and silage,641,Production,1961,5620000,Spain,5510,tonnes
203,Beets for Fodder,647,Production,1961,861000,Spain,5510,tonnes
203,Cabbage for Fodder,644,Production,1961,823000,Spain,5510,tonnes
203,Carrots for Fodder,648,Production,1961,83000,Spain,5510,tonnes
203,Clover for forage and silage,640,Production,1961,1429000,Spain,5510,tonnes
203,forage Products,651,Production,1961,20000,Spain,5510,tonnes
203,Grasses Nes for forage;Sil,639,Production,1961,1806000,Spain,5510,tonnes
203,Leguminous for Silage,643,Production,1961,3405000,Spain,5510,tonnes
203,Maize for forage and silage,636,Production,1961,1063000,Spain,5510,tonnes
203,Pumpkins for Fodder,645,Production,1961,133000,Spain,5510,tonnes
203,Rye grass for forage & silage,638,Production,1961,1571000,Spain,5510,tonnes
203,Sorghum for forage and silage,637,Production,1961,27000,Spain,5510,tonnes
203,Turnips for Fodder,646,Production,1961,1871000,Spain,5510,tonnes
203,Vegetables Roots Fodder,655,Production,1961,22000,Spain,5510,tonnes
206,forage Products,651,Production,1961,,Sudan (former),5510,tonnes
210,Pumpkins for Fodder,645,Production,1961,,Sweden,5510,tonnes
211,Beets for Fodder,647,Production,1961,,Switzerland,5510,tonnes
211,forage Products,651,Production,1961,3928000,Switzerland,5510,tonnes
211,Grasses Nes for forage;Sil,639,Production,1961,,Switzerland,5510,tonnes
211,Maize for forage and silage,636,Production,1961,,Switzerland,5510,tonnes
211,Pumpkins for Fodder,645,Production,1961,,Switzerland,5510,tonnes
212,Alfalfa for forage and silage,641,Production,1961,,Syrian Arab Republic,5510,tonnes
212,Clover for forage and silage,640,Production,1961,,Syrian Arab Republic,5510,tonnes
212,forage Products,651,Production,1961,,Syrian Arab Republic,5510,tonnes
212,Grasses Nes for forage;Sil,639,Production,1961,,Syrian Arab Republic,5510,tonnes
