# File: GDP_deflator_Taiwan.csv
# Title: Taiwan GDP deflator
# Unit: Unitless
# Description: Taiwan Gross Domestic Product by Kind of Activity and Implicit Price Deflators (2016 = 100). FAOSTAT has missing value for Taiwan
# Source: https://eng.stat.gov.tw/ct.asp?xItem=37408&CtNode=5347&mp=5
# Access date: 7/23/2024
# Column types: in
# ----------
year,value
1981,71.82
1982,73.59
1983,75.56
1984,76.54
1985,76.55
1986,80.31
1987,80.34
1988,80.39
1989,82.47
1990,86.7
1991,89.72
1992,92.6
1993,95.82
1994,97.46
1995,99.77
1996,102.11
1997,104.36
1998,107.75
1999,105.68
2000,104.72
2001,104.06
2002,103.63
2003,102.18
2004,101.41
2005,99.89
2006,98.64
2007,98.13
2008,95.54
2009,95.66
2010,94.43
2011,92.39
2012,93.02
2013,94.43
2014,96
2015,99.25
2016,100
2017,99.16
2018,98.57
2019,98.41
2020,100.26
2021,102.29
2022,104.38
