# File: FAO_GDP_Deflators.csv
# Title: FAO GDP deflators by country (2015 = 100)
# Units: Unitless
# Description:  FAOSTAT (domain:PD) & Taiwan Statistics (access:4-12-2021)
# Data source: FAOSTAT (main domain:PD FAO.udpate:2023-08-16T00:00:00)
# Date of CSV last update: 2023-11-24
# Column types: cicicinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area,area_code,item,item_code,element,element_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,2,GDP Deflator,22024,"Value US$, 2015 prices",6179,16.54091882,17.36645667,18.10577401,19.09361685,22.04008757,23.38480564,23.98945706,28.13108886,30.27634856,34.2715198,35.65592839,33.2424521,32.60132029,31.05738839,29.95451139,29.43143357,28.66244526,27.80626702,27.71803746,35.18140514,40.89278503,43.02888925,44.19371035,45.12596614,35.34141441,43.51830209,40.6931654,47.00764584,49.49254862,38.20117995,62.53055379,71.34960301,55.27275398,54.499139220000004,60.37189671,64.82706545,68.20077812,73.66986949,81.02047572,82.77407384,99.69699594,110.2289594,110.8210174,106.5453974,102.9939117,100,94.8255616,96.87528236,93.31752212,92.17256062,100.5779988,94.1068937,90.3353901
Albania,3,GDP Deflator,22024,"Value US$, 2015 prices",6179,71.71417525,70.93398206,70.15544882,69.38708595,68.64395787,67.87073392,67.1321131,66.46191317,65.60263013,52.66947186,46.06418155,45.05899592,45.0515571,45.04691272,45.03120359,45.18975838,44.13347191,44.13347191,46.31698648,50.39711217,40.84783409,42.22921044,43.19157627,44.21536331,45.15954866,50.69401374,62.13357791,48.45147339,51.04477659,56.71049293,57.57707664,59.86480374,63.5227591,76.85521285,93.99742439,99.93504089,104.2561489,118.066946,132.5008316,119.8690401,114.459117,120.6388149,113.6830976,116.7259691,118.7479684,100,100.8241468,106.6167947,119.3182087,118.7705373,120.8979706,134.4070871,128.916657
Algeria,4,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.78871686,17.00648977,18.6125848,22.94614985,31.76857344,35.21703775,37.84323696,40.90291662,46.64608568,54.63627551,68.98481448,70.16544262,67.18189056,68.83880414,70.71054466,74.69079642,80.89402065,83.29075592,76.70648248,69.3262493,76.73783137,58.5686991,60.67206328,64.17120639,53.90851386,51.49426146,55.19963817,56.03543741,53.32800682,52.1602512,56.60401253,55.34724518,54.0899838,60.26502938,72.65359686,82.96956049,92.51512716,103.1965465,127.674163,100.8324685,114.3500632,137.882068,139.3749793,136.0300901,133.5836406,100,93.42856423,98.02887666,99.60789288,96.84523224,86.59217109,93.93215205,105.1272489
Angola,7,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.29248209,14.19346958,14.49990819,16.40246004,17.84607676,13.84601077,14.01906173,15.17709655,17.87571277,19.7888387,25.68669619,25.14719692,25.14719692,25.15040661,25.15070543,29.93819394,27.23108476,29.30561477,29.96866716,34.73954741,38.54802006,45.21325101,55.14686517,52.56939445,53.38669524,22.24658736,25.73877578,28.12080198,22.63467048,21.1474342,30.44810199,28.89539309,32.27561719,36.51974429,43.51982059,59.38956306,75.36567353,82.36618645,100.5139285,79.13713303,89.95292166,115.9720045,122.3889614,124.4948215,126.5878856,100,89.33510409,108.0463083,91.50330671,75.58802095,56.29030462,74.42910847,112.9504389
Antigua and Barbuda,8,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.95189963,13.514345,17.24699724,22.08261666,22.76452804,24.62999768,22.48696349,23.85956555,26.09165288,29.00587445,32.43481545,34.96409869,38.58886874,40.1326958,42.26677826,45.30882926,49.58776188,52.95439355,58.19807162,60.86431134,61.86866791,63.48121398,65.0436767,66.2230707,68.3717365,70.01495788,72.09943229,73.41689693,74.96592519,76.09357401,76.9385866,78.45617606,79.06087494,78.13138746,79.36404075,83.08320026,83.37909766,86.4746718,90.28153399,91.93994827,93.29455225,94.24187931,96.16037254,95.25017187,97.07088253,100,101.8736715,100.9263868,103.3009993,103.5159449,105.3222989,107.3513296,120.5351218
Argentina,9,GDP Deflator,22024,"Value US$, 2015 prices",6179,13.78768434,15.89653889,14.67445063,15.9282223,17.00088922,18.20357879,19.27593947,20.39578953,21.83039485,23.64156602,25.77712686,28.21619594,29.959468,31.13291661,32.25610052,33.27618201,37.30122679,37.38953507,44.47034305,28.88062534,53.99667577,65.5847702,71.70291074,69.83675269,71.82211045,74.04047843,74.00815922,73.67675078,72.42040903,71.0903472,71.8277432,71.04066679,30.2622297,35.31320019,38.27018464,42.50432594,45.96022814,52.12126914,63.20776793,61.80320453,71.15840212,83.44558338,92.46486194,95.24460667,90.32939994,100,88.2887897,99.12870603,83.00287823,72.26046297,69.08983556,79.08853473,97.69407957
Armenia,1,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,42.34324427,43.34692296,44.27256342,45.20091513,52.97736283,52.61364331,56.59844521,53.46145693,52.29293812,52.89601536,51.5741943,53.42249445,61.61728271,74.14394089,85.33416414,108.1772741,128.1309673,110.6755677,115.9440487,121.3417093,111.17192060000001,112.7554944,113.5673249,100,99.7603324,101.4078456,104.1737317,105.8112746,105.7893388,109.7453373,136.5167889
Australia,10,GDP Deflator,22024,"Value US$, 2015 prices",6179,14.40511427,15.47353475,17.747508,24.62362208,28.96559457,30.12076139,31.32828697,30.76754188,34.50157672,37.06707213,41.35587478,46.62471561,45.33586566,43.43114487,44.28677057,37.55144507,38.47080719,43.18839291,52.64147713,56.52718834,57.48703372,58.21454961,55.35966648,51.7813672,56.94300447,59.30200379,63.40254154,60.84519289,51.74839767,54.50735214,51.24404638,47.0150438,50.85334797,62.66795986,73.78110471,80.53466875,83.36882674,96.91701286,102.0092308,95.94629371,119.8790015,137.2209617,137.5296977,130.0584691,120.717422,100,102.6540342,107.7728912,108.6327149,102.8322251,104.6518563,122.3590231,114.7672531
Austria,11,GDP Deflator,22024,"Value US$, 2015 prices",6179,11.37741965,12.5741208,14.62443068,18.65461414,21.39673158,24.44662192,25.06940267,28.62707272,34.53262301,39.05768682,42.60629896,36.93548255,36.33035348,35.7000447,33.63643815,33.49410435,46.72953104,57.8059563,60.08991515,57.74220624,69.20809275,69.84820336,76.79403621,74.55030214,77.84032696,89.78883285,86.34845965,75.85188758,75.11114445,72.17437601,63.26594115,62.64459486,66.63953263,80.9605321,90.61948805,93.06308876,95.65419998,106.6787735,116.4073275,112.4823955,108.1745071,115.623098,109.062537,114.5323278,116.9354764,100,101.5805966,104.7845198,111.5538441,107.3819469,112.3646837,118.614478,109.8251668
Azerbaijan,52,GDP Deflator,22024,"Value US$, 2015 prices",6179,,,,,,,,,,,,,,,,,,,,,,,34.53108281,35.34958674,36.1044502,36.86152468,37.53644735,44.25278097,45.15887692,43.32383226,44.88278698,44.20808941,43.68407553,45.85546402,49.66178276,59.94310998,70.62158972,88.95586404,118.7156577,98.48164578,112.0333019,139.5617701,144.3237863,145.170166,143.3401029,100,73.65412932,79.42421517,90.23319891,90.03015963,83.3203855,100.9671278,125.4599975
