# File: GCAMFAOSTAT_ForExpPrice.csv
# Title: FAO forests export qunatity and export value by country_year
# Units: Export Quantity in m3; Export Value in 1000 US$
# Description:  Data is generated by gcamfaostat for deriving export prices
# Data source: FAOSTAT (main domain:FO FAO.udpate:2023-09-05T00:00:00)
# Date of CSV last update: 2023-11-24
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Armenia,1634,Veneer sheets,Export Quantity,5916,m3,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,37,37,66,160.81384265770134,112,239.14903527210816,100,100,33,55,66,14.89727100603232,1,10.870807623009766,11.957939419828813,14.116851524532647,16.103268549064605,17.064944933540808,16.62652085512259,16.145647816963862,15.409067696811862,16.23704297927012,16.91171375790559,18.52966100464905,14.88749943787083
1,Armenia,1634,Veneer sheets,Export Value,5922,1000 USD,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,27,27,39,91,173,158,76,40,25,33,19,15,11,11,11,11,11,11,11,11,11,11,11,11,11
1,Armenia,1865,Industrial roundwood,Export Quantity,5916,m3,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16,16,13,221.1505621630387,220.63210184914755,546.2071417955187,1000,1000,4000,700,1500,1500,2622,2000.283887911187,700,15,98,73.84615539818118,69.04562464544671,64.25275977072684,80.84589455752132,83.29511101817361,73.82247317860785,72.89789011259874,84.68950546061373,95.38900880139403,79.68743085635359,79.2338147109064
1,Armenia,1865,Industrial roundwood,Export Value,5922,1000 USD,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,2,16,16,39,62,91,291,69,222,298,378,234,90,15,9,9,9,9,9,9,9,9,9,9,9,9
1,Armenia,1873,Wood-based panels,Export Quantity,5916,m3,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,22,22,22,22,22,8.143451303547142,7.051580757489407,5.159957465890738,3.921935467207663,40,4,19.1189501000748,35.56137276613641,48,103,8,14,4,13,20,66,375,13,23,11,61,85
1,Armenia,1873,Wood-based panels,Export Value,5922,1000 USD,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10,10,10,6.209047917380187,6.385374984197796,5.903968576689036,2,1.75,1.5,1.25,1,1.3469639217235485,7.333333333333333,14.666666666666666,22,39,4,10,1,3,3,39,380.12,77,15,8,102,98
1,Armenia,1875,Wood pulp,Export Quantity,5910,t,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,5.256183517998358,10.013393069650101,14.125721445298604,18.785192133542488,24.414608923134995,25,24.835835497535875,16.9852379119308,15.452807577582231,12.926121171949509,6.050768645350791,1.5393152979850102
1,Armenia,1875,Wood pulp,Export Value,5922,1000 USD,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,3.6666666666666665,6.333333333333333,9,11.666666666666666,14.333333333333334,17,14.333333333333334,11.666666666666668,9,6.333333333333334,3.666666666666666,1
2,Afghanistan,1634,Veneer sheets,Export Quantity,5916,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,59,10,10,17.50619883645717,16.649616379703733,16,16,115,115,115,15,3,3,3,3,3,0,0,0,0,0,0,0,0
2,Afghanistan,1634,Veneer sheets,Export Value,5922,1000 USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,58,9,9,10,11,12,12,190,190,190,54,8,3.035653020862069,2.759672786540377,1,2.0492734067902556,0,0,0,0,0,0,0,0
2,Afghanistan,1865,Industrial roundwood,Export Quantity,5916,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9854,2000,2000,2000,2000,2025,2026,2038,2038,10000,34074,99987,99987,10204,8718,2475,540,296,11496,11496,11261,2000,2595,7189,559,87,373,264,853,2192.135540335077
2,Afghanistan,1865,Industrial roundwood,Export Value,5922,1000 USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,71,71,71,71,75,79,74,74,1600,4512,8123,8123,1725,6826,2817,2832,2665,3628,3628,3438,434,642,1468,113,17,67,126,249,249
2,Afghanistan,1873,Wood-based panels,Export Quantity,5916,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,54,54,54,54,54,54,145.0610898683535,440,440,440,106,106,442,746,264,31,35,35,52,54,54,5,56,10,3,8,3
2,Afghanistan,1873,Wood-based panels,Export Value,5922,1000 USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,20,20,20,20,20,20,36,52,52,52,15,15,443,767,366,100,113,97,33,37,36,4,28,6,1,20,1
2,Afghanistan,1875,Wood pulp,Export Quantity,5910,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,35,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38
2,Afghanistan,1875,Wood pulp,Export Value,5922,1000 USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
