# File: Mapping_gcamdata_SUA_PrimaryEquivalent.csv
# Title: Mapping of SUA items to primary products by level of nestings
# Units: NA
# Description: The mapping is constructed for aggregating items across supply chain in primary equivalent.
# There are 21 GCAM_commodity but 71 APE_comm (aggregated primary equivalent for 2010 onwards). 
# For each APE_comm nest levels souce and sink items are specified. 
# The mapping or processing is not one to one. For each level source and sink items shoud be viewed as an aggregate.
# Primary product (land based or primary meat) is indicated by source_primary. 
# In few cases output_specific_extraction_rate is specifies to prescale the data as the extraction rate for coproducts are not fixed.
# Sink item mapping to FAO FBS FBSH and CB items is provided in sink_FBS_item.
# GCAM_FBSH_CB_item is the mapping between GCAM_commodity and FBSH and CB
# GCAM_FBSH_CB_item is a unique set of sink_FBS_item and these items will be directly aggregated to GCAM_commodity for data before 2010
# To add in new GCAM commodity simply change GCAM_commodity
# However it requires that the new GCAM commodity should be independent in APE_comm and GCAM_FBSH_CB_item Eg Tomato Barley etc.
# extraction_rate_Q25 is 25 percent quantile value across regions and years
# When Q25asMin is TRUE (minimium is smaller than 0.5) extraction_rate_Q25 is used as min to avoid unrealistic scale of processed balance to primary equivalent. It is used in Get_GROSS_EXTRACTION_RATE.
# Need to make sure that when nest_level is not 0 Q25asMin extraction_rate_Q25 and extraction_rate_world2019 have values
# Jojoba seed Poppy seed and Oil castor beans did not have quality extraction rate so 1 was used here.
# We added 49 NEC (not elsewhere categorized items) while Item 158 (Sugar, cane, raw, centrifugal) and 908 (Reconstituted milk) are not included due to low quality.
# Update2024: mushroom and brazil nuts were not associated with area harvested per FAO change; we keep them as primary
# Last update: 11-26-2024 (XZ)
# Column types: ccilccncnnl
# ----------
APE_comm_Agg,APE_comm,nest_level,source_primary,source_item,sink_item,output_specific_extraction_rate,sink_FBS_item,extraction_rate_Q25,extraction_rate_world2019,Q25asMin
Other cereals and products,CerealsNES,0,TRUE,Quinoa,Quinoa,,"Cereals, Other and products",,,
Other cereals and products,CerealsNES,0,TRUE,Canary seed,Canary seed,,"Cereals, Other and products",,,
Other cereals and products,CerealsNES,1,TRUE,Buckwheat,"Flour, buckwheat",,"Cereals, Other and products",0.875070881,0.951067665,FALSE
Other cereals and products,CerealsNES,1,TRUE,Buckwheat,"Bran, buckwheat",,"Cereals, Other and products",0.875070881,0.951067665,FALSE
Other cereals and products,CerealsNES,2,TRUE,Fonio,"Flour, fonio",,"Cereals, Other and products",0.918882346,0.919164351,FALSE
Other cereals and products,CerealsNES,2,TRUE,Fonio,"Bran, fonio",,"Cereals, Other and products",0.918882346,0.919164351,FALSE
Other cereals and products,CerealsNES,3,TRUE,Triticale,"Flour, triticale",,"Cereals, Other and products",0.919885057,0.967297604,FALSE
Other cereals and products,CerealsNES,3,TRUE,Triticale,"Bran, triticale",,"Cereals, Other and products",0.919885057,0.967297604,FALSE
Other cereals and products,CerealsNES,4,TRUE,"Grain, mixed","Flour, mixed grain",,"Cereals, Other and products",0.760321865,0.633760079,FALSE
Other cereals and products,CerealsNES,4,TRUE,"Grain, mixed","Bran, mixed grains",,"Cereals, Other and products",0.760321865,0.633760079,FALSE
Other cereals and products,CerealsNES,5,TRUE,Cereals nes,"Flour, cereals",,"Cereals, Other and products",1.068507066,1.289136893,FALSE
Other cereals and products,CerealsNES,5,TRUE,Cereals nes,"Bran, cereals nes",,"Cereals, Other and products",1.068507066,1.289136893,FALSE
Other cereals and products,CerealsNES,5,TRUE,Cereals nes,Cereal preparations nes,,"Cereals, Other and products",1.068507066,1.289136893,FALSE
Soyabeans and products,Soybean,1,TRUE,Soybeans,"Oil, soybean",,Soyabean Oil and products,0.938210713,1.001923596,TRUE
Soyabeans and products,Soybean,1,TRUE,Soybeans,"Cake, soybeans",,Soyabean Cake,0.938210713,1.001923596,TRUE
Soyabeans and products,Soybean,1,TRUE,Soybeans,Soya sauce,,Soyabeans and products,0.938210713,1.001923596,TRUE
Soyabeans and products,Soybean,1,TRUE,Soybeans,Soya paste,,Soyabeans and products,0.938210713,1.001923596,TRUE
Soyabeans and products,Soybean,1,TRUE,Soybeans,Soya curd,,Soyabeans and products,0.938210713,1.001923596,TRUE
Palm fruit and products,OilPalm,1,TRUE,Oil palm fruit,"Oil, palm",,Palm Oil and products,0.229783485,0.266953101,TRUE
Palm fruit and products,OilPalm,1,TRUE,Oil palm fruit,Palm kernels,,Palm kernels and products,0.229783485,0.266953101,TRUE
Palm fruit and products,OilPalm,2,FALSE,Palm kernels,"Oil, palm kernel",,Palmkernel Oil and products,0.931997389,0.998701612,TRUE
Palm fruit and products,OilPalm,2,FALSE,Palm kernels,"Cake, palm kernel",,Palmkernel Cake,0.931997389,0.998701612,TRUE
Sunflower seed and products,Sunflower seed,1,TRUE,Sunflower seed,"Oil, sunflower",,Sunflower seed and products,0.83448627,0.882079224,TRUE
Sunflower seed and products,Sunflower seed,1,TRUE,Sunflower seed,"Cake, sunflower",,Sunflowerseed Cake,0.83448627,0.882079224,TRUE
"Rapeseed, mustard seed and products",Rapeseed,1,TRUE,Rapeseed,"Oil, rapeseed",,Rape and Mustard Oil and products,0.921894704,0.964325659,FALSE
"Rapeseed, mustard seed and products",Rapeseed,1,TRUE,Rapeseed,"Cake, rapeseed",,Rape and Mustard Cake,0.921894704,0.964325659,FALSE
"Rapeseed, mustard seed and products",Mustard seed,1,TRUE,Mustard seed,"Oil, mustard",,Rape and Mustard Oil and products,0.772188199,0.906606832,FALSE
"Rapeseed, mustard seed and products",Mustard seed,1,TRUE,Mustard seed,"Flour, mustard",,Rape and Mustard Oil and products,0.772188199,0.906606832,FALSE
"Rapeseed, mustard seed and products",Mustard seed,1,TRUE,Mustard seed,"Cake, mustard",,Rape and Mustard Cake,0.772188199,0.906606832,FALSE
Coconuts and products,Coconuts,1,TRUE,Coconuts,Copra,,Coconuts (including copra) and products,0.199996942,0.250353462,TRUE
Coconuts and products,Coconuts,1,TRUE,Coconuts,"Coconuts, desiccated",,Coconuts (including copra) and products,0.199996942,0.250353462,TRUE
Coconuts and products,Coconuts,1,TRUE,Coconuts,Coir,,QCL,0.199996942,0.250353462,TRUE
Coconuts and products,Coconuts,2,FALSE,Copra,"Oil, coconut (copra)",,Coconut Oil and products,0.949594442,1.021711161,TRUE
Coconuts and products,Coconuts,2,FALSE,Copra,"Cake, copra",,Copra Cake,0.949594442,1.021711161,TRUE
Sesame seed and products,Sesame seed,1,TRUE,Sesame seed,"Oil, sesame",,Sesameseed Oil and products,0.921607193,0.974784023,FALSE
Sesame seed and products,Sesame seed,1,TRUE,Sesame seed,"Cake, sesame seed",,Sesameseed Cake,0.921607193,0.974784023,FALSE
Olives and products,Olives,1,TRUE,Olives,Olives preserved,,Olives (including preserved) and products,0.346509871,0.475683954,TRUE
Olives and products,Olives,1,TRUE,Olives,"Oil, olive, virgin",,Olive Oil and products,0.346509871,0.475683954,TRUE
Olives and products,Olives,1,TRUE,Olives,"Oil, olive residues",,Olive Oil and products,0.346509871,0.475683954,TRUE
Olives and products,Olives,1,TRUE,Olives,"Cake, olive residues",,Estimated,0.346509871,0.475683954,TRUE
Other oil crops and products,Linseed,1,TRUE,Linseed,"Oil, linseed",,"Oilcrops, Other and products",0.917542006,0.956329598,TRUE
Other oil crops and products,Linseed,1,TRUE,Linseed,"Cake, linseed",,Estimated,0.917542006,0.956329598,TRUE
Other oil crops and products,Castor oil seed,1,TRUE,Castor oil seed,"Oil, castor beans",,"Oilcrops Oil, Other and products",0.4,0.43961813,TRUE
Other oil crops and products,Castor oil seed,2,FALSE,"Oil, castor beans","Castor oil, hydrogenated (opal wax)",,"Oilcrops Oil, Other and products",1,1,FALSE
Other oil crops and products,Tallowtree seed,1,TRUE,Tallowtree seed,Vegetable tallow,,"Oilcrops Oil, Other and products",0.15,0.15,TRUE
Other oil crops and products,Karite nuts (sheanuts),1,TRUE,Karite nuts (sheanuts),Butter of karite nuts,,"Oilcrops Oil, Other and products",0.299163129,0.292599938,TRUE
Other oil crops and products,Kapok fruit,1,TRUE,Kapok fruit,Kapokseed in shell,,"Oilcrops, Other and products",1.029837176,1.040012446,FALSE
Other oil crops and products,Kapok fruit,1,TRUE,Kapok fruit,Kapok fibre,,QCL,1.029837176,1.040012446,FALSE
Other oil crops and products,Kapok fruit,2,FALSE,Kapokseed in shell,Kapokseed shelled,,"Oilcrops, Other and products",0.659998607,0.659998455,FALSE
Other oil crops and products,Kapok fruit,3,FALSE,Kapokseed shelled,"Oil, kapok",,"Oilcrops Oil, Other and products",0.749993466,0.792471231,FALSE
Other oil crops and products,Kapok fruit,3,FALSE,Kapokseed shelled,"Cake, kapok",,Estimated,0.749993466,0.792471231,FALSE
Other oil crops and products,OilCropNES,0,TRUE,Melonseed,Melonseed,,"Oilcrops, Other and products",,,
Other oil crops and products,OilCropNES,1,TRUE,Safflower seed,"Oil, safflower",,"Oilcrops Oil, Other and products",0.710838072,0.84546635,TRUE
Other oil crops and products,OilCropNES,1,TRUE,Safflower seed,"Cake, safflower",,Estimated,0.710838072,0.84546635,TRUE
Other oil crops and products,OilCropNES,2,TRUE,Jojoba seed,"Oil, jojoba",,"Oilcrops Oil, Other and products",1,1,FALSE
Other oil crops and products,OilCropNES,2,TRUE,Jojoba seed,"Cake, jojoba",,Estimated,1,1,FALSE
Other oil crops and products,OilCropNES,3,TRUE,Poppy seed,"Oil, poppy",,"Oilcrops Oil, Other and products",1,1,FALSE
Other oil crops and products,OilCropNES,3,TRUE,Poppy seed,"Cake, poppy",,Estimated,1,1,FALSE
Other oil crops and products,OilCropNES,4,TRUE,Hempseed,"Oil, hempseed",,"Oilcrops Oil, Other and products",0.560643519,0.673878058,FALSE
Other oil crops and products,OilCropNES,4,TRUE,Hempseed,"Cake, hempseed",,Estimated,0.560643519,0.673878058,FALSE
Other oil crops and products,OilCropNES,5,TRUE,Oilseeds nes,"Oil, vegetable origin nes",,"Oilcrops Oil, Other and products",0.76104,2.60284622,TRUE
Other oil crops and products,OilCropNES,5,TRUE,Oilseeds nes,"Cake, vegetable origin nes",,"Oilseed Cakes, Other",0.76104,2.60284622,TRUE
Other oil crops and products,OilCropNES,5,TRUE,Oilseeds nes,"Flour, oilseeds",,"Oilcrops, Other and products",0.76104,2.60284622,TRUE
Other oil crops and products,OilCropNES,6,TRUE,Tung nuts,"Oil, tung nuts",,"Oilcrops Oil, Other and products",0.174239784,0.170890194,TRUE
Seed cotton and products,Seed cotton,1,TRUE,Seed cotton,Cottonseed,,QCL,0.881238445,0.844809987,TRUE
Seed cotton and products,Seed cotton,1,TRUE,Seed cotton,Cotton lint,,QCL,0.881238445,0.844809987,TRUE
Seed cotton and products,Seed cotton,2,FALSE,Cottonseed,"Oil, cottonseed",,Cottonseed Oil and products,0.653978909,0.693275286,TRUE
Seed cotton and products,Seed cotton,2,FALSE,Cottonseed,"Cake, cottonseed",,Cottonseed Cake,0.653978909,0.693275286,TRUE
Seed cotton and products,Seed cotton,2,FALSE,Cottonseed,"Fiber, cottonseed",,Estimated,0.653978909,0.693275286,TRUE
Other fiber crops and products,FiberCropNES,0,TRUE,Agave fibres nes,Agave fibres nes,,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,"Bastfibres, other","Bastfibres, other",,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,Fibre crops nes,Fibre crops nes,,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,"Flax, raw or retted","Flax, raw or retted",,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,Hemp tow waste,Hemp tow waste,,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,Jute,Jute,,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,Manila fibre (abaca),Manila fibre (abaca),,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,Ramie,Ramie,,QCL,,,
Other fiber crops and products,FiberCropNES,0,TRUE,Sisal,Sisal,,QCL,,,
Groundnuts and products,"Groundnuts, with shell",1,TRUE,"Groundnuts, with shell","Groundnuts, shelled",,Groundnuts (Shelled Eq) and products,0.699976399,0.69951945,TRUE
Groundnuts and products,"Groundnuts, with shell",2,FALSE,"Groundnuts, shelled","Cake, groundnuts",,Groundnut Cake,0.925590681,0.824645889,TRUE
Groundnuts and products,"Groundnuts, with shell",2,FALSE,"Groundnuts, shelled","Groundnuts, prepared",,Groundnuts (Shelled Eq) and products,0.925590681,0.824645889,TRUE
Groundnuts and products,"Groundnuts, with shell",2,FALSE,"Groundnuts, shelled",Peanut butter,,Groundnuts (Shelled Eq) and products,0.925590681,0.824645889,TRUE
Groundnuts and products,"Groundnuts, with shell",2,FALSE,"Groundnuts, shelled","Oil, groundnut",,Groundnut Oil and products,0.925590681,0.824645889,TRUE
Nuts and products,NutsSeedsNES,0,TRUE,Chestnut,Chestnut,,Nuts and products,,,
Nuts and products,NutsSeedsNES,0,TRUE,Areca nuts,Areca nuts,,Nuts and products,,,
Nuts and products,NutsSeedsNES,0,TRUE,Kola nuts,Kola nuts,,Nuts and products,,,
Nuts and products,NutsSeedsNES,1,TRUE,"Brazil nuts, with shell","Brazil nuts, shelled",,Nuts and products,0.54998659,0.549990383,FALSE
Nuts and products,NutsSeedsNES,2,TRUE,"Walnuts, with shell","Walnuts, shelled",,Nuts and products,0.418449069,0.483226707,TRUE
Nuts and products,NutsSeedsNES,3,TRUE,"Cashew nuts, with shell","Cashew nuts, shelled",,Nuts and products,0.249908103,0.297210095,TRUE
Nuts and products,NutsSeedsNES,4,TRUE,"Almonds, with shell",Almonds shelled,,Nuts and products,0.494881028,0.535778845,TRUE
Nuts and products,NutsSeedsNES,5,TRUE,"Hazelnuts, with shell","Hazelnuts, shelled",,Nuts and products,0.499196224,0.498477673,TRUE
Nuts and products,NutsSeedsNES,6,FALSE,"Brazil nuts, shelled","Nuts, prepared (exc. groundnuts)",,Nuts and products,0.944971077,1.093836446,TRUE
Nuts and products,NutsSeedsNES,6,FALSE,"Walnuts, shelled","Nuts, prepared (exc. groundnuts)",,Nuts and products,0.944971077,1.093836446,TRUE
Nuts and products,NutsSeedsNES,6,FALSE,"Cashew nuts, shelled","Nuts, prepared (exc. groundnuts)",,Nuts and products,0.944971077,1.093836446,TRUE
Nuts and products,NutsSeedsNES,6,TRUE,Nuts nes,"Nuts, prepared (exc. groundnuts)",,Nuts and products,0.944971077,1.093836446,TRUE
Nuts and products,NutsSeedsNES,6,TRUE,Pistachios,"Nuts, prepared (exc. groundnuts)",,Nuts and products,0.944971077,1.093836446,TRUE
Nuts and products,NutsSeedsNES,6,FALSE,Almonds shelled,"Nuts, prepared (exc. groundnuts)",,Nuts and products,0.944971077,1.093836446,TRUE
Nuts and products,NutsSeedsNES,6,FALSE,"Hazelnuts, shelled","Nuts, prepared (exc. groundnuts)",,Nuts and products,0.944971077,1.093836446,TRUE
Other pulses and products,Legumes,1,TRUE,"Beans, dry","Flour, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,"Peas, dry","Flour, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,"Broad beans, horse beans, dry","Flour, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,Chick peas,"Flour, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,Lentils,"Flour, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,"Cow peas, dry","Flour, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,Pigeon peas,"Bran, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,Bambara beans,"Bran, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,Vetches,"Bran, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,Lupins,"Bran, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Other pulses and products,Legumes,1,TRUE,Pulses nes,"Bran, pulses",,"Pulses, Other and products",0.949902399,0.955596546,FALSE
Potatoes and products,Potatoes,1,TRUE,Potatoes,"Potatoes, frozen",,Potatoes and products,0.180310461,0.321982533,TRUE
Potatoes and products,Potatoes,1,TRUE,Potatoes,"Flour, potatoes",,Potatoes and products,0.180310461,0.321982533,TRUE
Potatoes and products,Potatoes,1,TRUE,Potatoes,"Starch, potatoes",,Potatoes and products,0.180310461,0.321982533,TRUE
Potatoes and products,Potatoes,1,TRUE,Potatoes,"Tapioca, potatoes",,Potatoes and products,0.180310461,0.321982533,TRUE
Cassava and products,Cassava,1,TRUE,Cassava,Cassava dried,,Cassava and products,0.25,0.28767134,TRUE
Cassava and products,Cassava,1,TRUE,Cassava,"Flour, cassava",,Cassava and products,0.25,0.28767134,TRUE
Cassava and products,Cassava,1,TRUE,Cassava,"Starch, cassava",,Cassava and products,0.25,0.28767134,TRUE
Cassava and products,Cassava,1,TRUE,Cassava,"Tapioca, cassava",,Cassava and products,0.25,0.28767134,TRUE
Sweet potatoes and products,Sweet potatoes,0,TRUE,Sweet potatoes,Sweet potatoes,,Sweet potatoes and products,,,
Yams and products,Yams,0,TRUE,Yams,Yams,,Yams and products,,,
Other roots and products,Roots and tubers nes,0,TRUE,Taro (cocoyam),Taro (cocoyam),,"Roots, Other and products",,,
Other roots and products,Roots and tubers nes,0,TRUE,Yautia (cocoyam),Yautia (cocoyam),,"Roots, Other and products",,,
Other roots and products,Roots and tubers nes,1,TRUE,Roots and tubers nes,Roots and tubers dried,,"Roots, Other and products",0.261715065,0.448975879,TRUE
Other roots and products,Roots and tubers nes,1,TRUE,Roots and tubers nes,"Flour, roots and tubers nes",,"Roots, Other and products",0.261715065,0.448975879,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar cane,Sugar non-centrifugal,,Sugar non-centrifugal and products,0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar cane,Sugar Raw Centrifugal,,Sugar (Raw Equivalent) and products,0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar cane,Molasses,,"Sweeteners, Other and products",0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar beet,Sugar non-centrifugal,,Sugar non-centrifugal and products,0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar beet,Sugar Raw Centrifugal,,Sugar (Raw Equivalent) and products,0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar beet,Molasses,,"Sweeteners, Other and products",0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar crops nes,Sugar non-centrifugal,,Sugar non-centrifugal and products,0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar crops nes,Sugar Raw Centrifugal,,Sugar (Raw Equivalent) and products,0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,1,TRUE,Sugar crops nes,Molasses,,"Sweeteners, Other and products",0.147197243,0.166534583,TRUE
Sugar crop and products,SugarCrop,2,FALSE,Sugar Raw Centrifugal,Sugar refined,,Sugar (Raw Equivalent) and products,0.919999956,0.922708303,FALSE
Sugar crop and products,SugarCrop,3,FALSE,Sugar refined,Sugar confectionery,,Sugar (Raw Equivalent) and products,0.399504543,0.397100961,TRUE
Sugar crop and products,SugarCrop,3,FALSE,Sugar refined,Sugar nes,,"Sweeteners, Other and products",0.399504543,0.397100961,TRUE
Tomatoes and products,Tomatoes,1,TRUE,Tomatoes,"Juice, tomato",,Tomatoes and products,0.311226649,0.365140358,TRUE
Tomatoes and products,Tomatoes,1,TRUE,Tomatoes,"Tomatoes, paste",,Tomatoes and products,0.311226649,0.365140358,TRUE
Tomatoes and products,Tomatoes,1,TRUE,Tomatoes,"Tomatoes, peeled",,Tomatoes and products,0.311226649,0.365140358,TRUE
Other vegetables and products,"Maize, green",1,TRUE,"Maize, green",Sweet corn frozen,,"Vegetables, Other and products",0.4,0.3817711,TRUE
Other vegetables and products,"Maize, green",1,TRUE,"Maize, green",Sweet corn prep or preserved,,"Vegetables, Other and products",0.4,0.3817711,TRUE
Other vegetables and products,Mushrooms and truffles,1,TRUE,Mushrooms and truffles,"Mushrooms, dried",,"Vegetables, Other and products",0.373450077,0.427985642,TRUE
Other vegetables and products,Mushrooms and truffles,1,TRUE,Mushrooms and truffles,"Mushrooms, canned",,"Vegetables, Other and products",0.373450077,0.427985642,TRUE
