# File: Mapping_gcamdata_SUA_PrimaryEquivalent.csv
# Title: Mapping of SUA items to primary products by level of nestings
# Units: NA
# Description: The mapping is constructed for aggregating items across supply chain in primary equivalent.
# There are 21 GCAM_commodity but 71 APE_comm (aggregated primary equivalent for 2010 onwards). 
# For each APE_comm nest levels souce and sink items are specified. 
# The mapping or processing is not one to one. For each level source and sink items shoud be viewed as an aggregate.
# Primary product (land based or primary meat) is indicated by source_primary. 
# In few cases output_specific_extraction_rate is specifies to prescale the data as the extraction rate for coproducts are not fixed.
# Sink item mapping to FAO FBS FBSH and CB items is provided in sink_FBS_item.
# GCAM_FBSH_CB_item is the mapping between GCAM_commodity and FBSH and CB
# GCAM_FBSH_CB_item is a unique set of sink_FBS_item and these items will be directly aggregated to GCAM_commodity for data before 2010
# To add in new GCAM commodity simply change GCAM_commodity
# However it requires that the new GCAM commodity should be independent in APE_comm and GCAM_FBSH_CB_item Eg Tomato Barley etc.
# extraction_rate_Q25 is 25 percent quantile value across regions and years
# When Q25asMin is TRUE (minimium is smaller than 0.5) extraction_rate_Q25 is used as min to avoid unrealistic scale of processed balance to primary equivalent. It is used in Get_GROSS_EXTRACTION_RATE.
# Need to make sure that when nest_level is not 0 Q25asMin extraction_rate_Q25 and extraction_rate_world2019 have values
# Jojoba seed Poppy seed and Oil castor beans did not have quality extraction rate so 1 was used here.
# We added 49 NEC (not elsewhere categorized items) while Item 158 (Sugar, cane, raw, centrifugal) and 908 (Reconstituted milk) are not included due to low quality.
# Update2024: mushroom and brazil nuts were not associated with area harvested per FAO change; we keep them as primary
# Last update: 11-26-2024 (XZ)
# Column types: ccilccncnnl
# ----------
APE_comm_Agg,APE_comm,nest_level,source_primary,source_item,sink_item,output_specific_extraction_rate,sink_FBS_item,extraction_rate_Q25,extraction_rate_world2019,Q25asMin
Wheat and products,Wheat,1,TRUE,Wheat,"Food preparations, flour, malt extract",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat and products,Wheat,1,TRUE,Wheat,Bulgur,,Wheat and products,0.942971612,0.985277283,FALSE
Wheat and products,Wheat,1,TRUE,Wheat,"Cereals, breakfast",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat and products,Wheat,1,TRUE,Wheat,"Bran, wheat",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat and products,Wheat,1,TRUE,Wheat,"Germ, wheat",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat and products,Wheat,1,TRUE,Wheat,"Flour, wheat",,Wheat and products,0.942971612,0.985277283,FALSE
Wheat and products,Wheat,2,FALSE,"Flour, wheat","Gluten, wheat",,Wheat and products,0.931353174,0.955290621,FALSE
Wheat and products,Wheat,2,FALSE,"Flour, wheat","Starch, wheat",,Wheat and products,0.931353174,0.955290621,FALSE
Wheat and products,Wheat,2,FALSE,"Flour, wheat",Bread,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat and products,Wheat,2,FALSE,"Flour, wheat",Pastry,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat and products,Wheat,2,FALSE,"Flour, wheat",Macaroni,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat and products,Wheat,2,FALSE,"Flour, wheat",Wafers,,Wheat and products,0.931353174,0.955290621,FALSE
Wheat and products,Wheat,2,FALSE,"Flour, wheat",Mixes and doughs,,Wheat and products,0.931353174,0.955290621,FALSE
Rice and products,Rice,1,TRUE,"Rice, paddy","Rice, milled",,Rice and products,0.729998701,0.745755411,FALSE
Rice and products,Rice,1,TRUE,"Rice, paddy","Rice, husked",,Rice and products,0.729998701,0.745755411,FALSE
Rice and products,Rice,1,TRUE,"Rice, paddy","Bran, rice",,Rice and products,0.729998701,0.745755411,FALSE
Rice and products,Rice,2,FALSE,"Rice, husked","Rice, milled/husked",,Rice and products,0.850005939,0.900653718,FALSE
Rice and products,Rice,3,FALSE,"Rice, milled","Rice, broken",,Rice and products,0.969999272,0.981589176,TRUE
Rice and products,Rice,4,FALSE,"Rice, broken","Flour, rice",,Rice and products,0.397122047,0.277035807,TRUE
Rice and products,Rice,4,FALSE,"Rice, broken","Starch, rice",,Rice and products,0.397122047,0.277035807,TRUE
Rice and products,Rice,4,FALSE,"Rice, broken","Gluten, rice",,Rice and products,0.397122047,0.277035807,TRUE
Rice and products,Rice,5,FALSE,"Bran, rice","Oil, rice bran",,Ricebran Oil and products,0.912379877,0.933843219,FALSE
Rice and products,Rice,5,FALSE,"Bran, rice","Cake, rice bran",,Estimated,0.912379877,0.933843219,FALSE
Maize and products,Corn,1,TRUE,Maize,"Flour, maize",,Maize and products (including white maize),0.888833647,0.918793595,FALSE
Maize and products,Corn,1,TRUE,Maize,"Germ, maize",,Maize and products (including white maize),0.888833647,0.918793595,FALSE
Maize and products,Corn,1,TRUE,Maize,"Bran, maize",,Maize and products (including white maize),0.888833647,0.918793595,FALSE
Maize and products,Corn,2,FALSE,"Flour, maize","Starch, maize",,Maize and products (including white maize),0.908000215,0.896879812,TRUE
Maize and products,Corn,2,FALSE,"Flour, maize","Gluten, maize",,Maize and products (including white maize),0.908000215,0.896879812,TRUE
Maize and products,Corn,3,FALSE,"Bran, maize","Feed and meal, gluten",,Maize and products (including white maize),1,1.058352856,FALSE
Maize and products,Corn,3,FALSE,"Gluten, maize","Feed and meal, gluten",,Maize and products (including white maize),1,1.058352856,FALSE
Maize and products,Corn,4,FALSE,"Germ, maize","Oil, maize",,Maize Germ Oil and products,0.881612035,0.938040357,TRUE
Maize and products,Corn,4,FALSE,"Germ, maize","Cake, maize",,Estimated,0.881612035,0.938040357,TRUE
Barley and products,Barley,1,TRUE,Barley,"Barley, pot",,Barley and products,0.776986262,0.755403899,TRUE
Barley and products,Barley,1,TRUE,Barley,"Bran, barley",,Barley and products,0.776986262,0.755403899,TRUE
Barley and products,Barley,1,TRUE,Barley,Malt,,Barley and products,0.776986262,0.755403899,TRUE
Barley and products,Barley,2,FALSE,"Barley, pot","Barley, pearled",,Barley and products,0.9203936,0.896950677,TRUE
Barley and products,Barley,2,FALSE,"Barley, pot","Flour, barley and grits",,Barley and products,0.9203936,0.896950677,TRUE
Barley and products,Barley,3,FALSE,Malt,Beer of barley,,Barley and products,6,8.09720345,FALSE
Barley and products,Barley,3,FALSE,Malt,Malt extract,,Barley and products,6,8.09720345,FALSE
Millet and products,Millet,1,TRUE,Millet,"Flour, millet",,Millet and products,0.900046664,0.937459232,FALSE
Millet and products,Millet,1,TRUE,Millet,"Bran, millet",,Millet and products,0.900046664,0.937459232,FALSE
Rye and products,Rye,1,TRUE,Rye,"Flour, rye",,Rye and products,0.832489814,0.874079778,TRUE
Rye and products,Rye,1,TRUE,Rye,"Bran, rye",,Rye and products,0.832489814,0.874079778,TRUE
Oats and products,Oats,1,TRUE,Oats,Oats rolled,,Oats and products,0.679656244,0.761934386,TRUE
Oats and products,Oats,1,TRUE,Oats,"Bran, oats",,Oats and products,0.679656244,0.761934386,TRUE
Sorghum and products,Sorghum,1,TRUE,Sorghum,"Flour, sorghum",,Sorghum and products,0.930002898,0.84623475,FALSE
Sorghum and products,Sorghum,1,TRUE,Sorghum,"Bran, sorghum",,Sorghum and products,0.930002898,0.84623475,FALSE
